,Location,new_reviews,Comp
95,West Palm Beach,property clean staff helpful parking much especially almost 100 3 day nice trip read read less,Positive
96,"Rockland, MA",great location 5 minute walk disney springs magic kingdom buses door 825 pm round trip nice hotel beautiful pool perfect location disney read read less,Positive
98,"Washington, DC",hotel outdate room incredibly tiny even nyc standard room clean elevator break 28th floor floor turn several corner go short hallway room feel unsafe single woman do not want trap corner someone do not know happen would recommend stay read read less,Positive
99,"Oshawa, on",staff service excellent pool area nice lobby bar small enjoyable elevator first 5 floor excruciatingly slow room clean extremely small family 12 child must get second room double bed small two normal sized adult pool snack bar great service food actually pretty good read read less,Positive
101,Santa Ana Ca.,bed bug bite body healthy allow read read less,Positive
102,Chicago,ok small room clean power outage visit read read less,Positive
104,Leeds UK,pool nice especially family room ok little dated find lot american hotel standard country lobby area nice café expensive 5 small carton cereal reception slow aware make pay resortdisney tax upfront check read read less,Positive
105,Fresh Meadows,nice room annoying flaw good room improvement read read less,Positive
106,Ocala,pool area great child love bunk bed read read less,Positive
107,Burlington ON Canada,great location close everything subway times square shopping tonne fun read read less,Positive
108,"Porirua, NZ",room spacious bed comfortable air con work treat short walk shoppingdiningentertainment disney springs bus theme park time read read less,Positive
111,Toowoomba,fantastic resort great staff plenty amenity within close distance lot restaurant activity read read less,Positive
112,Key west,clean friendly staff room service amazing read read less,Positive
115,Vero Beach,honestly good experience -PRON- have ever happy everything staff truly nice kind definitely come back recommend place everyone read read less,Positive
116,Orlando,well maintain hotel close sjc airport load free parking cheap rate secure read read less,Positive
119,San Diego,pro easy checkin plenty parking friendly staff good location con thin wall hear people next door sketchy people stay nearby room make noise go dirty pool read read less,Positive
120,"Toronto, ON",clean hotel suite spacious negative free parking valet park 25 per night steep option free parking road impossible find breakfast pretty decent oatmeal waffle egg potato cereal bagelsbread room clean bed comfy do not forget toiletry bathroom amenity provide shampoo condition bar soap staff responsive read read less,Positive
121,NY,amazing great time staff excellent can not wait go back next year read read less,Positive
122,Santa Ana,lobby look good property wellkept room clean neat everything expect room door could give facelift complaint room keycard work properly take -PRON- 10 try every time try open please look fix problem sure read one review problem mention overall enjoy stay read read less,Positive
123,Salt Lake City,location hotel great rent car airport hotel within minute staff friendly professional pool hot tub great read read less,Positive
124,Brick NJ,excellent stay new yorker return customer back room great beautiful view great check problem encounter black midtown ny everyone new yorker manager employee make -PRON- feel safe comfortable happy chose hotel continue nyc hotel read read less,Positive
127,"Washington, DC",extremely professional staff clean property great amenity food good hour different restaurantscafe reasonable take free shuttle disney park great time would definitely stay read read less,Positive
129,"Tamarac, Fl",beautiful property big love ammenitie staff professional friendly make feel comfortable read read less,Positive
130,"Montreal, QC",hotel one good deal find stay resort however do not get fooled reception share high end wyndham lake buena vista wyndham garden date let say much love attention put soon check -PRON- will drag counter someone bribe restaurant coupon actually try sell membership club access sunset part resort take elevator that s probably one slow planet take -PRON- 4 minute get elevator go one floor do not luggage old dusty smell great yellowish setting room probably neighbor greet wall thin room however clean bed comfortable serious lack power plug near bed thank ingenious setup macbook lot cable able charge 3 device night grab muffin cafe probably three day ago day checkout -PRON- be already thank neighbor alarm clock expect waken 830am staff knock ask expect leave please do not blame staff -PRON- be follow management instruction checkout experience -PRON- be good go mumble room feedback magical stay read read less,Positive
131,NewSmyrnaBeach,woman checkin awesome friendly helpful read read less,Positive
132,Minster,beautiful property wish bike bike trail like club wyndham tell -PRON- 90minute presentation actually four hour yes four hour extremely frustrating disappointing product amazing would need four hour sell read read less,Positive
133,Phoenix,staff friendly helpful exterior property clean maintain interior property include room show age need level renovation pool even green haze seem chlorinated overall visit fine single night stay read read less,Positive
134,Cary,property staff phenomenal hotel flawless clean staff friendly helpful time complaint time share people say 2 hour 4 12 hour later hard time take answer read read less,Positive
135,Florida,nice stay clean comfortable room plenty thing read read less,Positive
136,Wash DC,excellent location price friendly helpful staff read read less,Positive
137,Philadelphia,vip amenity offer even inform none offer checkin read read less,Positive
138,"Clovis, CA",nothing do not like overall experience great definitely stay visit disneyland short easy walk park short walk restaurant plenty choose room clean bed comfortable spacious good size fridge microwave use hot tub nice long day highly recommend read read less,Positive
139,New York,hotel nice clean staff professional extremely nice facility well keep definitely stay read read less,Positive
140,Kansas City,staff friendly really enjoy talk everyone super easy get question answer need meet great hotel read read less,Positive
141,Belfast,maid service maid excellent house keep service also good security desk staff however could abrupt condescending read read less,Positive
142,Illinois,stay several time past six year likely final stay location excellent five minute walk disney springs pool great section that s wonderful kid food pool although little pricey pretty good park shuttle bed great however last two time stay housekeep less ideal give benefit doubt last time think maybe housekeeper every time bad day happen trip tile floor clean stay two people long hair tub seem get clean rusty stain start appear dripping however think try two day come back evening tub plugged water stand garden view trip time stick back employee parking miss view think maybe would quieter since less people walk past etc car alarm night make hotel room be not show much wear tub definitely need refinish several peel spot recommend hotel many people due previous experience however trip disappoint small amount next time stay property read read less,Positive
143,CA,one clean hotel -PRON- have ever stay room look almost brand new do not much staff interaction morning front desk crew seem lot friendly evening crew read read less,Positive
144,"Willoughby, OH",third visit property whereas say would not come back due lack shade towel pool stay one night go use pool property great staff always friendly willing help make tour ground past pool notice still add umbrella shade likely stay visit 1 day unless umbrella situation resolve read read less,Positive
145,LA Ca,excellent facility soooo clean beautiful love stay read read less,Positive
146,Atlanta Ga,beautiful property kid friendly enjoy every moment read read less,Positive
147,NYC,beautiful property great location disney easy access major highway additional fee aware staff around property pleasant interact read read less,Positive
148,Jacksonville,absolutely love amenity great atmosphere restaurant bar lobby pool side area rent room balcony do not calculate swimming suit dry air condition room wish would have electric dryer site patron without balcony access lol read read less,Positive
149,New York,overall nice resort trip surprise daughter 17th birthday would like give special thank deborah ali tesoro cove bring cupcake sang happy birthday really love nothing really phase even surprise trip feel like shuttle bus universal studios resort well disney shuttle bus eliminate costly expense parking order room service two night stay impression charge take account time food deliver check give bill room service charge give option debit credit card would prefer charge add already expensive bill maybe misunderstood think book trip expedia everything except resort fee pay check charge another 300 refund prepare could budgeted little well trip nevertheless take care next trip plan little well stay somewhere little less expensive somewhere provide transportation place consider day do not need fancy resort still think resort beautiful staff friendly read read less,Positive
151,Scotland,great location penn station madison square gardens tick tock diner italian restaurant site good enjoy stay read read less,Positive
153,Los Angeles,second stay new yorker definitely back stay see show garden location really can not beat town ace subway line literally around corner do not suit fancy penn station block catch number train staff always friendly willing help lobby perfectly airconditione great summer day aware want check early want 50 buck bed comfy do not hear noise hallwayneighbor room 9th floor think still considerable noise street nothing ear plug could not fix elevator despite numerous notoriously run slow room fridge microwave really downside honestly come town see show garden room rate reasonable stay -PRON- will love 5 whole step hotel penn read read less,Positive
154,"Flushing, mi",somewhat tired clean great location good value read read less,Positive
155,Guadalajara,si close park great bed window open totally recommend read read less,Positive
158,Kissimmee fl,amenity perefect guest service wonderfull kind understanding staff member wyndham grand bar area attitude also inclclude security personal ask direction be not sure answer give angery something talk anger mood family byside point wonderful time read read less,Positive
159,Toronto,location great close lot attraction subway entrance around corner read read less,Positive
160,New Jersey,hotel beautiful clean close disney spring walk every night dinner lobby always smell amazing shuttles theme park always time convienent would definitley return hotel read read less,Positive
162,"Plant City, FLORIDA",excellent service friendly room ok expect something accord rate entrance little outdated read read less,Positive
166,NY,book suite wyndham garden expedia preparation wedding hotel ok far cleanliness upon arrival warm welcome greet staff robotic suite be not big describe bathroom mirror do not light make difficult apply make iron board suite iron washcloth call front desk inquire house keep miss item response receive well -PRON- be go check soon do not need -PRON- be big customer service especially since expectation great hospitality since -PRON- be stay inn hotel breakfast ok decent variety food staff take away replenish breakfast station would not go back read read less,Positive
167,"Jacksonville, FL",liked be not tall building mean two story building across entire property room seem little outdated stay outside room door do not exit interior corridor room never get cold ac run constantly room great bring dog along easy walk exterior room also bathroom fan do not work strange besides ac bathroom fan semi date room hotel nice sign lobby tho check etc pool great gatorville restaurant go breakfast everything already prepare expensive fitness center tiny sufficient leg back workout wifi room horrible sometimes phone would not receive service either uber problem pick -PRON- drop hotel also near bunch restaurant convenience read read less,Positive
168,"Dorado, PR",stay room 1304 lady take care room attentive trustful mean lot definitely return read read less,Positive
169,Ft. Myers,enjoy outdoor space two nice pool one title quiet one main gym look nice however pretty packed normal gym time opt swim instead front desk staff awesome super helpful happy stay read read less,Positive
170,Boston,room clean bed pillow confortable ever try call anything quickly everyone friendly love place room service amazing want go back property staff amazing read read less,Positive
171,Sanit Louis Missouri,moment pull untill time leave amazing read read less,Positive
172,"Jupiter, Fl",like fact property great fitness center modern equipment read read less,Positive
173,miami,good customer service attention bed amazing comfortable read read less,Positive
175,London Ontario,love historical look location staff great do not like pay extra fridge luggage check room coffee room tiny however suppose thing keep price reasonable midtown manhattan location great value stay read read less,Positive
177,Nebraska,good one valet parking employee respectful read read less,Positive
178,"Lincoln, CA",location ideal visit relative live nearby read read less,Positive
180,Punta Gorda,great location disney springs terrific staff pool fun would go best bring four legged friend 20 lb read read less,Positive
181,"Brantford,ON. CANADA>",great hotel great location room clean quite son wonderful time would like stay thank read read less,Positive
182,"Richmond, VA",basic clean bed comfortable read read less,Positive
186,"Jupiter, FL",enough staff available check take forever 2 agent ask extra towel 2 blanket never arrive 11 p.m. mold bathroom service overprice restaurant horrible food marginal pool area ground beautiful fun kid read read less,Positive
188,"New York, New York",main thing enjoy staff excellent stacey jose accommodate friendly read read less,Positive
190,"Navarre, FL",hotel close pedestrian cross walk disney spring stay perfect read read less,Positive
193,Irvine,staff really friendly understanding room nice comfy read read less,Positive
194,"Long Island, NY",like property staff accommodate room building could little clean pool pool area real nice local international drive area convenience store walk distance read read less,Positive
195,"Tampa, FL",loved pillow bed sleep comfortably enjoy room read read less,Positive
196,"Toronto, Canada",hotel really really really old also look like clean room get small room -PRON- have ever life feel cram really enjoy stay ask new towel never come two night row like location close madison square garden would stay sorry read read less,Positive
198,Seattle,feel staff accommodate helpful property nice look like could wyndham definitely feel place business people however -PRON- travel work normal people unique socal disney touch would give place unique feel read read less,Positive
201,N.Y.,super helpful staff convenient attraction read read less,Positive
202,New Jersey,pay breakfast room 15 year old son book everything expedia receive 7 voucher say pay 1 guest disappointed pay provide 2 voucher day son could eat breakfast every morning never use pool amenity charge approximately 30 day do not need wifi pool lovely hotel though staff polite friendly professional nake everyone feel welcome love staff gatorville read read less,Positive
206,Baltimore,great roomfair price close everything see nyc read read less,Positive
208,Chicago,ground beautiful pool nice staff great close lot restaurant walgreens starbuck room okay like picture read read less,Positive
210,Seattle,clean nice staff comfortable bed good location read read less,Positive
212,Glasgow,super clean great staff great location do not anything bad say new yorker place stay whilst ny read read less,Positive
213,Marrakech,great property guest service staff especially samira helful read read less,Positive
215,Belfast Northern Ireland,staff helpful friendly give free room upgrade discount facilitation fee also able check early normal lovely old time classy hotel full history modern amenity comfy bed side noise traffic hey central new york bring ear plug turn air con sirens horn new yorkers seem love use excess n great city friendly helpful people get book enjoy read read less,Positive
217,Ohio,close disney next disney spring work great -PRON- read read less,Positive
218,"Brooklyn, NY",beautiful resort see firework every night read read less,Positive
219,Tampa,like staff friendly property whole lovely really like fact able spend time wyndham vacation property enjoy lazy river facility return read read less,Positive
220,yakima wa,room small view -PRON- amazing guest laundry great location recommend teye butcher banker restraunt close amtrak station subway read read less,Positive
224,Tampa,good location great pool staff friendly read read less,Positive
226,Nairobi,positive love art deco style hotel retain lobbycommon area staff friendly helpful minimal delay checkin checkout process despite queue bed extremely comfortable negative toilet bedroom clog resultant backflow attend promptly show head evenly distribute water water temperature never get beyond lukewarm even run several minute bathroom hallway particular look date read read less,Positive
227,Oregon,great staff great location bedroom small nyc still good size date inside actual room anticipate nonetheless good experience would consider read read less,Positive
229,Montreal,view comfortable beds location staff super friendly read read less,Positive
230,San Pedro,great location everything room bite small queen mattress feel like full 50 extra charge early check 50 charge late check do not mind pay due hour flight disturb sign place door housekeeping would knock door open knock couple time read read less,Positive
234,Utah,pool wonderful room beautifully decorate bed perfect hard soft pillow comfortable do not feel like -PRON- be cranne neck resort good location easy get especially like plug phone right next bed that s huge plus read read less,Positive
237,Palm Beach,5 minute walk disney springs busses disney park great building pool area outdate read read less,Positive
238,Long Beach,room fine bedspread stain otherwise room seem clean read read less,Positive
240,Mission Viejo,great visit kid love bunk bed family suite everything great loved hotel negative bathroom small 4 people share shuttle pick disney park come soon park close do not time get shuttle unless want skip firework show end night read read less,Positive
241,"Brampton, ON, CA",excellent location clean safe room big do not spend time room anyway read read less,Positive
242,"Savannah, GA",great location short walk disney springs property connect ds bridge room always nice clean pool awesome read read less,Positive
243,Vancouver,great location amazing ammenitie lot pool hang area drink food main restaurant hotel great definitely come back read read less,Positive
245,"Toronto, Ontario, Canada",hotel clean great location small room read read less,Positive
246,Tampa,stay 1 night check inout pleasant quick would suggest airing room seem bit stuffy -PRON- would stay read read less,Positive
247,Las Vegas,location excellent easy sna drive distance district food drink shop clean quiet comfortable read read less,Positive
250,"Albany, NY",boyfriend come stay attend music concert good time live honestly do not get experience full service hotel since rarely room bed big comfy decor style seem outdated thing would recommend mini fridge microwave case leftover food outside inhouse restaurant beautiful hotel would definitely come read read less,Positive
253,Delray beach,great location beautiful grounds n poolsstaff helpful nicewe bavk read read less,Positive
254,Kentucky,everyone courteous helpful everything need room nice clean pool beautiful could get ticket information right guest service valet service quick helpful amazing time go back wyndham garden read read less,Positive
255,Weston,beautiful immaculate convenient close everything read read less,Positive
258,Toronto,several time property continue return great location great size room perfect kind travel read read less,Positive
259,London,fantastic location forgive detail could pick like wear fitting loose bathroom furniture read read less,Positive
262,"Lockport, NY",premium room accommodate family six perfectly especially two bathroom could use microwave read read less,Positive
263,"Willoughby, OH",second time -PRON- have stay property like convenient location near idrive walkable one thing do not care visit lack umbrellas pool maybe 4 umbrella total surround two pool first time umbrella ever four lounge chair summer 90 degree give day little shade necessary hot could not stay pool hour nowhere retreat sun also pool towel lack well two day ask towel replenish sunday pool attendant say would wait hour towel go back room take room towel use day lack people pool would probably indication abscense shade towel issue other well come florida spend time pool able love vacation certainly come play schedule next visit unless umbrella situation change stay read read less,Positive
265,West reading pa,property clean look newthe room size matchboxwe arrive 2 hr pass check inn start time room ready read read less,Positive
266,Naples,love steam room sauna true resort experience standard hotel price would definitely stay return area read read less,Positive
267,Thousand Oaks,staff polite professional check check however facility room need repair maintenance side rug need clean maintenance room setup good however window curtain hang ceiling fall tub need repair mirror closet fracture breakfast good read read less,Positive
268,New Britain,nice accommodation convenient subwaytrain well restaurant mattress extremely comfortable pleasant surprise tryp help make stay big apple quite enjoyable would definitely stay read read less,Positive
270,truro,really nice property staff friendly helpful read read less,Positive
271,"Ocho Rios, Jamaica",lovely property nice ground super friendly staff location perfect lot restaurant around price point want shop easy affordable get location pool right size morning till earl afternoon quietest time busy people return day trip definitely stay read read less,Positive
273,Jupiter,check breeze front desk agent wonderful knowledgeable get room thought door be not work soon realize literally body slam door get inside funny first time become bit inconvenient check easy well super nice staff stay one night move another hotel disney property convenience realize left blanket hotel caple back next day ask get back one know say would call -PRON- back take two day find eventually phone call pleasant whole thing unfortunately already leave orlando ship us property bit dated functional staff really could not nicer stay despite minor event read read less,Positive
274,"Dunedin ,Fl",overall enjoy stay hotel hotel surround area beautiful would stay read read less,Positive
275,Boston,pro great environment minute away disney con parking fee way expensive read read less,Positive
279,Tucson,wyndham garden san jose good experience check companion name instead -PRON- reason pleased accommodation read read less,Positive
280,Maryland,shower confuse 4 different knob figure ok can not tell one cold hot water would perfectly warm would get cold water sudden hot ok two night cafe lobby could well husband go get cup coffee stand open go across st starbucks room small well that s get nyc especially since build 1930 pretty cool loved gentleman stand near elevator show room key one wander hall be not stay hotel professional staff lobby nice lot seating wait rest upgraded room right across st madison square garden go overall would stay convenience kind staff nice room two people 3 stay 23 day do not know would ok wish breakfast bar diner get busy thank read read less,Positive
281,Singapore,hotel location central however service staff reception really poor take time serve n time short staff n super long wait rain usually hotel provide umbrella free charge hotel guest hotel charge us25 deposit stay hotel 6nights n decide join 2day one night tour boston weekend n recheck hotel sunday one night move atlanta hv leave luggage concierge n hotel charge -PRON- 10 per bag deposit weekend first time stay hotel keep bag aside chargethat really shock -PRON- ask receipt tell accept cash n receipt issue last see -PRON- strongly recommend anyone holiday stay hotel confirm happy holiday ruin read read less,Positive
286,Oklahoma,small room great location definitely worth read read less,Positive
288,Cayman Islands,property ok room small vallet parking almost non existence find street parking nightmare friendly accommodate staff read read less,Positive
291,Delaware OH,-PRON- have stay new yorker several time every time excellent read read less,Positive
292,Philadelphia,convenient train bus station clean check slow 4 people wait get check tell free gift could do guest first long slow move line read read less,Positive
294,Miami,staff helpful polite hotel locate perfect area walk distance disney springs shuttle buses disney park read read less,Positive
296,New Orleans,property amazing ta ta bellman great thing miss microwave room read read less,Positive
298,Riverview,staff great clean bed comfortable great location definitely go back read read less,Positive
299,Las vegas,staff extremly friendly helpful smart always available read read less,Positive
300,Western Australia,australian family two child 57yrs holiday -PRON- visit disneyland california adventure park four day love stay wyndham garden hotel see positive comment hotel close enough 78 minute direct walk outer security point park visit either twice day break afternoon feel unsafe even 9 p.m. world light show 930pm firework still lot peoplefamilie walk back along us staff hotel genuinely friendly helpful room clean kid love two outdoor pool luke warm warm temperature great break park midafternoon loooove latte coffee cafe lobby area big plus parent morning huge plus surround business two supermarketspharmacie everything -PRON- would want 30 second walk blaze pizza across road good sized wood fire pizzas sauce cheese two topping go hawaiian 999 enough adult two kid finish one awesome pizzas crust staff busy happy really good relax dine long flightday park go twice four night panda chinese restaurant row shop adjacent hotel 30 second walk really good really large sweet sour chicken large fry ri read read less,Positive
302,Carson City,room nice bed comfy front desk staff great guy cleaning bathroom be not hot stop 5he middle cleaning bathroom make cup coffee coffee guest hotel mean wait finish cleaning could use facility read read less,Positive
303,"Fresh Meadows, NY",nice staff room small clean meet need read read less,Positive
304,Bakersfield,like clean comfortable room extra large bathroom read read less,Positive
306,Lake worth,hotel extremely affordable beautiful pool tea fantastic poolside restaurant terrific food staff pleasant helpfulwe love close disney springs shuttle service park great hotel back read read less,Positive
307,"New hyde park, ny",hotel great room alittle outdated read read less,Positive
309,Temecula,great place stay friendly courteous staff clean comfortable stylish room read read less,Positive
310,Los angeles,like property security feel safe go time staff downstairs nice helpful downside constant noise level vacuuming middle night do not sleep well stay read read less,Positive
311,"Murrieta, CA",lobby spacious beautiful first room give way small request small ice box medication staff try install fridge room electrical plug try call front desk do not answer go lobby request another room would accommodate small refridgerator tell sell room force put medication ice last night next day 400pm give another room would accommodate small fridge another problem room bathroom pedestal sink mirror sink 4 inch wide x 3 foot long glass shelf nowhere store product toiletry repacke daily want small fridge coffee maker etc room pay fee item security good housekeeping staff friendly excellent read read less,Positive
312,Jacksonville Florida,customer service wonderful everyone nice restaurant staff mist change still nice next time town stay read read less,Positive
313,Fresno,love close park take family three 10 minute area feel safe walk night light parking area secure gate especially free free breakfast cafe offer 2 5 breakfast sandwich deal work perfect -PRON- room nice feel new would definitely stay next disney trip read read less,Positive
314,Apple valley ca,great location quiet room walk distance restaurant disneyland comfortable room would definitely stay read read less,Positive
