,Location,new_reviews,Comp
68,"New York, NY",property need renovate old fashion read read less,Neutral
69,Lake Buena Vista,location excellent hotel room small clean pool good read read less,Positive
70,"Chicago, IL",one room ready 5 p.m. do not mind ton since one layout hotel bit confusing first like close disney springs shuttle service excellent pool nice little one food pool amazing read read less,Positive
71,Seattle WA,great stay would stay close disneyland read read less,Positive
72,South bend Indiana,layout location great offer yoga free mondays wednesday excercise room nice pool room spacious comfortable read read less,Positive
73,Illinois,picture appear book location mislead dingy price motel worth money pay call upgraded room receive room balcony overlook horrible landscaping busy parking lot request room clean room clean staff member rude def look resort option future read read less,Neutral
74,Daytona,stay girlfriend birthday prior stay message hotel addition birthday add would pay advance appreciate none happen upon check front desk woman coarse seem overworked question amenity quickly avert topic bartender lobby nice seem everyone another countrythat talk that s fine become noticably bad arrive work visibly hang resort fine check hand map let -PRON- know everything quiet pool map look forward however reality unmonitore often run kid louder adult hot tub spa despite advertise small gym open anyone sauna stay kid everywhere do not bother use feature also duck property girl enjoy know florida wildlife come stay anywhere however really disheartening see kid young adult violently chase away time hotel staff outdoor attendant inform assist resort run stay would probably lot well read read less,Positive
75,charlotte,love property always friendly staff clean read read less,Positive
76,"Saint John, NB Canada",-PRON- have stay new yorker several time always pleased stay subway ac e train station outside hotel well crosstown uptown bus stop staff always friendly helpful trip thought book double room actually book single room double bed definitely error friend like brother do not fancy sleeping stay however staff able find -PRON- double room much delight highly recommend hotel hotel choice stay new york read read less,Positive
77,"Pernambuco, Brasil",local manhattan good near various attraction nyc read read less,Positive
78,Michigan,people property helpful nice especially shelton baggage desk bonnie pool property nice room bit date know go overall would definitely stay read read less,Positive
79,San Francisco,bar pool clean nice area read read less,Positive
80,Midland TX,do not like room one tv never work read read less,Neutral
81,"Washington, DC",stay 3 year ago though pleased accommodation hotel beginning look date fresh remember kayla front desk professional engage accommodate knowledgeabledelivered world class service read read less,Positive
82,Washington,comfortable 1 7 night stay hotel rent two room change day 3 due cold shower prior two night hot water entire hotel go lie several hour fix instruct run water 15 minute 2 minutesuntil go desk finally say repair begin another cold shower leave morning return bed water dripping air conditioner vent ac work correctly since could not fix furniture move side drip area mean could not sit bed without hit head light ac evening next day lie say fix call move furniture back look see water vent push furniture sleep like rest stay without ac work properly talk every single manager get nowhere wait two hour one morning day 6 speak director operation accuse lying would take customer word employee take 6 day one room second room change day first smell like rotten egg entire time maintenance nothing director operation be not willing anything read read less,Neutral
83,Toronto,room date definitely need upgrade housekeeping always great job keep clean provide toiletry towel stay find odd room do not come coffee maker sure standard hotel there s starbuck mcdonald across street well dunkin donut next block hotel gym pretty big come lot treadmill equipment location good thing hotel right across penn station msg short walk away macys empire state building read read less,Positive
84,Oregon,nan,Neutral
85,"Fontana,ca",clean nice room nice pool thing like pay 2200 dollar day selfparke top 3500 resort fee read read less,Positive
86,Guadalajara,hotel location ideal first time visitor times square empire state broadway walk distance also subway around corner room small that s understandable new york hotel offer fairly small room charge facility fee every night take surprise since book third party company aware read read less,Positive
87,Michigan,great checkin staff helpful beautiful lobby read read less,Positive
88,Maryland,liked location base purpose trip -PRON- be disney seem excellent location stay one sunset wing appear old part hotel however room nice clean pool nice poolside bar call oasis ok look like could use upgrade drink price reasonable read read less,Positive
89,Princeton,location ideal acce many event attraction staff friendly helpful room quiet although bit small adequate amount time spend read read less,Positive
90,"Vinton, VA 24179",hotel convenient penn station times square room adequate 2 guest bathroom large clean room small need staff pleasant always available direction help get cab need would definitely recommend stay new york read read less,Positive
91,Puerto Rico,great location walk distance disney spring read read less,Positive
92,"Springfield, MA",liked close hotel disney spring read read less,Neutral
93,"New Bedford, MA",like location facility next disney spring quick walk bridge tell desk clerk return room late tired would call desk hind sight ask room service come change bed sheet upon enter sheet feel damp dry completely tired change room wait service read read less,Negative
94,Sparks nv,staff great property except able look like picture internet read read less,Positive
95,West Palm Beach,property clean staff helpful parking much especially almost 100 3 day nice trip read read less,Positive
96,"Rockland, MA",great location 5 minute walk disney springs magic kingdom buses door 825 pm round trip nice hotel beautiful pool perfect location disney read read less,Positive
97,Ann Arbor,pool surround area actually quite nice gripe one member clean crew work middle hallway cart approach do not move -PRON- look -PRON- squeeze awkward unprofessional read read less,Neutral
98,"Washington, DC",hotel outdate room incredibly tiny even nyc standard room clean elevator break 28th floor floor turn several corner go short hallway room feel unsafe single woman do not want trap corner someone do not know happen would recommend stay read read less,Positive
99,"Oshawa, on",staff service excellent pool area nice lobby bar small enjoyable elevator first 5 floor excruciatingly slow room clean extremely small family 12 child must get second room double bed small two normal sized adult pool snack bar great service food actually pretty good read read less,Positive
100,Carlsbad,hotel premise room clean use jacuzzi sunday evening need service read read less,Neutral
101,Santa Ana Ca.,bed bug bite body healthy allow read read less,Positive
102,Chicago,ok small room clean power outage visit read read less,Positive
103,Rotterdam,de ligging middenin manhatten echt uitstekend service vrinedelijkeheid faciliteiten zondermeer teleurstellend read read less,Neutral
104,Leeds UK,pool nice especially family room ok little dated find lot american hotel standard country lobby area nice café expensive 5 small carton cereal reception slow aware make pay resortdisney tax upfront check read read less,Positive
105,Fresh Meadows,nice room annoying flaw good room improvement read read less,Positive
106,Ocala,pool area great child love bunk bed read read less,Positive
107,Burlington ON Canada,great location close everything subway times square shopping tonne fun read read less,Positive
108,"Porirua, NZ",room spacious bed comfortable air con work treat short walk shoppingdiningentertainment disney springs bus theme park time read read less,Positive
109,Northboro,garden hotel section market appropriately room outdate dark constantly feel moist 3 day bathe suit hang bathroom would dry pick hotel realize stark difference stay garden section vd tower express book material pool fine 2 adult kid section get away constant massive float rent splashingyellind child pool say close 9 p.m. hear 11 p.m. least screech kid pool garden section read read less,Neutral
110,"Henderson, NV",great clean place stay disney trip bit walk bad convenient starbuck walgreen nearby comfy bed nice shower negative beep trash truck early morning guess can not helped read read less,Neutral
111,Toowoomba,fantastic resort great staff plenty amenity within close distance lot restaurant activity read read less,Positive
112,Key west,clean friendly staff room service amazing read read less,Positive
113,New Jersey,give late 90 feel small room close penn station lot homeless outside dark read read less,Neutral
114,Azusa,like house keep rude non compliant noise one staff music play cleaning yell across hall non work related conversation loud walk open door tell try sleep disbelief house keep people property issue find roach run around carpet take photo roach kill carpet room 156 look dingy wear displeased stay point price way high wyndham wyndham hit time low truly feel like motel 6 low happy accommodation truly displeased guess fault reading review book read read less,Negative
115,Vero Beach,honestly good experience -PRON- have ever happy everything staff truly nice kind definitely come back recommend place everyone read read less,Positive
116,Orlando,well maintain hotel close sjc airport load free parking cheap rate secure read read less,Positive
117,Sydney,shower crap room dirty old lift take long check take long good thing location hotel read read less,Neutral
118,東京,朝食付きで予約したのですが伝わっていなかったようでちょっと苦労しましたエクスペディアのitenaryにも日本語表記だけしかなかったのでその点の工夫はお願いしたいです read read less,Neutral
119,San Diego,pro easy checkin plenty parking friendly staff good location con thin wall hear people next door sketchy people stay nearby room make noise go dirty pool read read less,Positive
120,"Toronto, ON",clean hotel suite spacious negative free parking valet park 25 per night steep option free parking road impossible find breakfast pretty decent oatmeal waffle egg potato cereal bagelsbread room clean bed comfy do not forget toiletry bathroom amenity provide shampoo condition bar soap staff responsive read read less,Positive
121,NY,amazing great time staff excellent can not wait go back next year read read less,Positive
122,Santa Ana,lobby look good property wellkept room clean neat everything expect room door could give facelift complaint room keycard work properly take -PRON- 10 try every time try open please look fix problem sure read one review problem mention overall enjoy stay read read less,Positive
123,Salt Lake City,location hotel great rent car airport hotel within minute staff friendly professional pool hot tub great read read less,Positive
124,Brick NJ,excellent stay new yorker return customer back room great beautiful view great check problem encounter black midtown ny everyone new yorker manager employee make -PRON- feel safe comfortable happy chose hotel continue nyc hotel read read less,Positive
125,Québec,bien situé spacieux belle apparence ascenseur fonctionnent moyennement et air climatisé brisé dans toute les chambre pendant plus de 12 heure il faisait 27 dans notre chambre pour 6 personne read read less,Neutral
126,West Palm Beach,try defend cost parking be not post receipt site pull page check extra 22 day bull go business should not hide charge site vice versa expedia nothing hide thank must honor paper write do not read read less,Neutral
127,"Washington, DC",extremely professional staff clean property great amenity food good hour different restaurantscafe reasonable take free shuttle disney park great time would definitely stay read read less,Positive
128,Truckee,cancel reservation inform -PRON- go expedia get refund read read less,Neutral
129,"Tamarac, Fl",beautiful property big love ammenitie staff professional friendly make feel comfortable read read less,Positive
130,"Montreal, QC",hotel one good deal find stay resort however do not get fooled reception share high end wyndham lake buena vista wyndham garden date let say much love attention put soon check -PRON- will drag counter someone bribe restaurant coupon actually try sell membership club access sunset part resort take elevator that s probably one slow planet take -PRON- 4 minute get elevator go one floor do not luggage old dusty smell great yellowish setting room probably neighbor greet wall thin room however clean bed comfortable serious lack power plug near bed thank ingenious setup macbook lot cable able charge 3 device night grab muffin cafe probably three day ago day checkout -PRON- be already thank neighbor alarm clock expect waken 830am staff knock ask expect leave please do not blame staff -PRON- be follow management instruction checkout experience -PRON- be good go mumble room feedback magical stay read read less,Positive
131,NewSmyrnaBeach,woman checkin awesome friendly helpful read read less,Positive
132,Minster,beautiful property wish bike bike trail like club wyndham tell -PRON- 90minute presentation actually four hour yes four hour extremely frustrating disappointing product amazing would need four hour sell read read less,Positive
133,Phoenix,staff friendly helpful exterior property clean maintain interior property include room show age need level renovation pool even green haze seem chlorinated overall visit fine single night stay read read less,Positive
134,Cary,property staff phenomenal hotel flawless clean staff friendly helpful time complaint time share people say 2 hour 4 12 hour later hard time take answer read read less,Positive
135,Florida,nice stay clean comfortable room plenty thing read read less,Positive
136,Wash DC,excellent location price friendly helpful staff read read less,Positive
137,Philadelphia,vip amenity offer even inform none offer checkin read read less,Positive
138,"Clovis, CA",nothing do not like overall experience great definitely stay visit disneyland short easy walk park short walk restaurant plenty choose room clean bed comfortable spacious good size fridge microwave use hot tub nice long day highly recommend read read less,Positive
139,New York,hotel nice clean staff professional extremely nice facility well keep definitely stay read read less,Positive
140,Kansas City,staff friendly really enjoy talk everyone super easy get question answer need meet great hotel read read less,Positive
141,Belfast,maid service maid excellent house keep service also good security desk staff however could abrupt condescending read read less,Positive
142,Illinois,stay several time past six year likely final stay location excellent five minute walk disney springs pool great section that s wonderful kid food pool although little pricey pretty good park shuttle bed great however last two time stay housekeep less ideal give benefit doubt last time think maybe housekeeper every time bad day happen trip tile floor clean stay two people long hair tub seem get clean rusty stain start appear dripping however think try two day come back evening tub plugged water stand garden view trip time stick back employee parking miss view think maybe would quieter since less people walk past etc car alarm night make hotel room be not show much wear tub definitely need refinish several peel spot recommend hotel many people due previous experience however trip disappoint small amount next time stay property read read less,Positive
143,CA,one clean hotel -PRON- have ever stay room look almost brand new do not much staff interaction morning front desk crew seem lot friendly evening crew read read less,Positive
144,"Willoughby, OH",third visit property whereas say would not come back due lack shade towel pool stay one night go use pool property great staff always friendly willing help make tour ground past pool notice still add umbrella shade likely stay visit 1 day unless umbrella situation resolve read read less,Positive
145,LA Ca,excellent facility soooo clean beautiful love stay read read less,Positive
146,Atlanta Ga,beautiful property kid friendly enjoy every moment read read less,Positive
147,NYC,beautiful property great location disney easy access major highway additional fee aware staff around property pleasant interact read read less,Positive
148,Jacksonville,absolutely love amenity great atmosphere restaurant bar lobby pool side area rent room balcony do not calculate swimming suit dry air condition room wish would have electric dryer site patron without balcony access lol read read less,Positive
149,New York,overall nice resort trip surprise daughter 17th birthday would like give special thank deborah ali tesoro cove bring cupcake sang happy birthday really love nothing really phase even surprise trip feel like shuttle bus universal studios resort well disney shuttle bus eliminate costly expense parking order room service two night stay impression charge take account time food deliver check give bill room service charge give option debit credit card would prefer charge add already expensive bill maybe misunderstood think book trip expedia everything except resort fee pay check charge another 300 refund prepare could budgeted little well trip nevertheless take care next trip plan little well stay somewhere little less expensive somewhere provide transportation place consider day do not need fancy resort still think resort beautiful staff friendly read read less,Positive
150,Reno nv,entrando la lobby se bien limpio pero una vez entrando al cuarto está más chico de lo que aparenta en las fotos los cuartos huelen feo sobaco la carpeta está sucia en la tina encontramos dos insectos read read less,Neutral
151,Scotland,great location penn station madison square gardens tick tock diner italian restaurant site good enjoy stay read read less,Positive
152,Buenos Aires,las habitación era pequeña pero estaba bien un frigobar podría estar bueno si es que uno desea tomar algo en cualquier momento read read less,Neutral
153,Los Angeles,second stay new yorker definitely back stay see show garden location really can not beat town ace subway line literally around corner do not suit fancy penn station block catch number train staff always friendly willing help lobby perfectly airconditione great summer day aware want check early want 50 buck bed comfy do not hear noise hallwayneighbor room 9th floor think still considerable noise street nothing ear plug could not fix elevator despite numerous notoriously run slow room fridge microwave really downside honestly come town see show garden room rate reasonable stay -PRON- will love 5 whole step hotel penn read read less,Positive
154,"Flushing, mi",somewhat tired clean great location good value read read less,Positive
155,Guadalajara,si close park great bed window open totally recommend read read less,Positive
156,"Jersey City, NJ",like fact that s close international drive however room put opposite side idrive activity would suggest stay build 56 7 close idrive activity versus back wawa parking lot read read less,Neutral
157,Los angeles,stay 3 night do not clean make bed even give -PRON- new toiletry rain could not use pool can not review part need maintenance building roof dripping inside room hall stair read read less,Neutral
158,Kissimmee fl,amenity perefect guest service wonderfull kind understanding staff member wyndham grand bar area attitude also inclclude security personal ask direction be not sure answer give angery something talk anger mood family byside point wonderful time read read less,Positive
159,Toronto,location great close lot attraction subway entrance around corner read read less,Positive
160,New Jersey,hotel beautiful clean close disney spring walk every night dinner lobby always smell amazing shuttles theme park always time convienent would definitley return hotel read read less,Positive
161,"Plantation, FL",short walk distance disney spring clean environment read read less,Neutral
162,"Plant City, FLORIDA",excellent service friendly room ok expect something accord rate entrance little outdated read read less,Positive
163,Modesto,room feel like motel 6 seem date old read read less,Neutral
164,Lake Buena Vista,pool area close early can not common pool patio past 11 pm later hour allow weekend day read read less,Neutral
165,"Browns mills, NJ",sure ask corner room big breakfast good range egg belgian waffle sausagehashbrown cereal oatmeal parking bad be not park lot find parking surround street unless get valet parking that s ny general read read less,Neutral
166,NY,book suite wyndham garden expedia preparation wedding hotel ok far cleanliness upon arrival warm welcome greet staff robotic suite be not big describe bathroom mirror do not light make difficult apply make iron board suite iron washcloth call front desk inquire house keep miss item response receive well -PRON- be go check soon do not need -PRON- be big customer service especially since expectation great hospitality since -PRON- be stay inn hotel breakfast ok decent variety food staff take away replenish breakfast station would not go back read read less,Positive
167,"Jacksonville, FL",liked be not tall building mean two story building across entire property room seem little outdated stay outside room door do not exit interior corridor room never get cold ac run constantly room great bring dog along easy walk exterior room also bathroom fan do not work strange besides ac bathroom fan semi date room hotel nice sign lobby tho check etc pool great gatorville restaurant go breakfast everything already prepare expensive fitness center tiny sufficient leg back workout wifi room horrible sometimes phone would not receive service either uber problem pick -PRON- drop hotel also near bunch restaurant convenience read read less,Positive
168,"Dorado, PR",stay room 1304 lady take care room attentive trustful mean lot definitely return read read less,Positive
169,Ft. Myers,enjoy outdoor space two nice pool one title quiet one main gym look nice however pretty packed normal gym time opt swim instead front desk staff awesome super helpful happy stay read read less,Positive
170,Boston,room clean bed pillow confortable ever try call anything quickly everyone friendly love place room service amazing want go back property staff amazing read read less,Positive
171,Sanit Louis Missouri,moment pull untill time leave amazing read read less,Positive
172,"Jupiter, Fl",like fact property great fitness center modern equipment read read less,Positive
173,miami,good customer service attention bed amazing comfortable read read less,Positive
174,"Fayetteville,NC",do not mini fridge microwave bit small read read less,Neutral
175,London Ontario,love historical look location staff great do not like pay extra fridge luggage check room coffee room tiny however suppose thing keep price reasonable midtown manhattan location great value stay read read less,Positive
176,Palm harbor fl,hotel nice price high though charge parking much read read less,Neutral
177,Nebraska,good one valet parking employee respectful read read less,Positive
178,"Lincoln, CA",location ideal visit relative live nearby read read less,Positive
179,Newark ca,pleasedcleaneverything go well hotel well go back whenever los angeles area read read less,Neutral
180,Punta Gorda,great location disney springs terrific staff pool fun would go best bring four legged friend 20 lb read read less,Positive
181,"Brantford,ON. CANADA>",great hotel great location room clean quite son wonderful time would like stay thank read read less,Positive
182,"Richmond, VA",basic clean bed comfortable read read less,Positive
183,"Atlanta, GA",arrive 1130am last saturday tell checkin 4 p.m. also group 100 loud girl lobby tad annoy ok 355 go front desk room still ready first red flag another family ahead -PRON- seem issue arrive noon go back line 4 p.m. room be not ready point ask speak manager 20 minute wait manger come front desk sudden room ready -PRON- go room wow madness continue bug room toilet would not flush safe working hotel room look like dump do not look like reserve call front desk speak manager switch room another one tell two building hotel one request tell could switch tower next day extra costthe next day go epcot come back pick room key 9th floor tower fall asleep hour later keep hear loud girl hall slam door singe one point music go whole night place 9th floor 100 girl area block next day breakfast ask night say terrible due noise teen even staff know read read less,Neutral
184,Kansas City,restaurant close private party go eat take child bar read read less,Neutral
185,Rhode Island,pool amazing woukd well would one lazy river would designate adult rule staff enforce really be not rule kid jump diving pool lazy river parent do not watch kid housekeep lack little room do not get clean late every afternoon read read less,Neutral
186,"Jupiter, FL",enough staff available check take forever 2 agent ask extra towel 2 blanket never arrive 11 p.m. mold bathroom service overprice restaurant horrible food marginal pool area ground beautiful fun kid read read less,Positive
187,San Francisco,location could not well close train walkable low east side soho little italy well chinatown great access restaurant shop really nice people work hotel pullout sofa bed terribleour son end sleep floor say well terrible mattress also one drawer closet odd put clothe desk nightstand room small dresser suite seem like oversight mostly pleasant stay read read less,Neutral
188,"New York, New York",main thing enjoy staff excellent stacey jose accommodate friendly read read less,Positive
189,Atlanta,old school building lot character bathroom could use deep clean read read less,Neutral
190,"Navarre, FL",hotel close pedestrian cross walk disney spring stay perfect read read less,Positive
191,San Jose,old dirty room be not clean bed never make stay worth money read read less,Negative
192,ny,所有一切我都满意只有对一个女员工的服务态度极其不满意她有种族歧视还有就是他们运作模式有问题我本来入住时间是3天这3天的钱我是在网上付的信用卡然后我在入住后的第二天到他们的前台和他们说我想在多住一天他们说可以只要在付这一天的钱就可以了于是我就当场付了现金给他们但是当我退房的时候前台的工作人员告诉我说他在电脑系统里没有看到我付的最后一天的钱我对他们说钱我是付了你们可以去查看监控系统我告诉他我当时付现金给那位小姐的日期时间于是他们说他们会调查清楚这件事情我真的很不开心希望他们可以给我个说法 read read less,Neutral
193,Irvine,staff really friendly understanding room nice comfy read read less,Positive
194,"Long Island, NY",like property staff accommodate room building could little clean pool pool area real nice local international drive area convenience store walk distance read read less,Positive
195,"Tampa, FL",loved pillow bed sleep comfortably enjoy room read read less,Positive
196,"Toronto, Canada",hotel really really really old also look like clean room get small room -PRON- have ever life feel cram really enjoy stay ask new towel never come two night row like location close madison square garden would stay sorry read read less,Positive
197,"Houston,TX",disappointing stay property clearly poorly manage chinese manager evident every respect example arrive 2 bed room available since property manager guests hotel register take room another give key eneterd room occupy unregistered guest discover change 2 room disappointing kid new room dirty bedsheets toilet paper door lock function nice give somebody maybe issue key occupy roon happend next day return room room do call reception require go get key another room extremely disappoint force change room way stay room sunce would make therefore kid move another room time 2 bed new room phone work summary poorly manage property lot staff chinese well speek little broken english keep property chinese hotelerie standard read read less,Negative
198,Seattle,feel staff accommodate helpful property nice look like could wyndham definitely feel place business people however -PRON- travel work normal people unique socal disney touch would give place unique feel read read less,Positive
