,Location,new_reviews,Comp
727,"Reno, NV",beautiful hotel fascinate history really friendly accomodate staff pleasantly update comfortable hotel ask book room view property convenient penn station empire state build handy compass point stand proudly block east world famous macy do not even like big department store feel enrich visit there s even amc movie theater across street baskin robbin open late make sure go escalator little museum tell hotel fascinate history tesla live last decade life technically advanced hotel time two room 33rd floor read read less,Positive
728,"Delmar, NY, us",small room excellent hotel read read less,Positive
729,Puerto Rico,encantó la amabilidad de los emoleados le tienen solución todo si haces checkout sabe que hacer con las maletas en lo que vas algún parque ellos te la guardan tienen un desayuno con pluto goofy espectacular para adulto niños es distancia corta para caminar disney springs tiene autobús para los parques puede entrar amte que el horario regular gracias al hotel encantó mi estadía read read less,Neutral
730,"Edwardsville, Ial",friendly staff great location comfortable room read read less,Positive
731,selden Ny,property clean well keep walkways lagoon nice well light little upset pool heat hot tub warm jet function properly otherwise stay wonderful within walk distance many activity restaurant read read less,Positive
732,St. Louis,convenience transportation disney property via bus system read read less,Neutral
733,"Philadelphia, PA",stay every month restaurant every retail establishment travler need within block two room little small always clean bed comfortable sheet clean white crisp staff friendly pay park usually find spot street free love place read read less,Positive
734,Howard Beach,nice hotel beautiful location room be not cleanest read read less,Positive
735,"Philadelphia, PA",everyone friendly room large property expansive great location thing disney read read less,Positive
736,Baltimore,room spacious comfortable staff nice wish could stay long one night read read less,Positive
737,"Land O Lakes, FL, us",nice hotel great location easy drive tampa read read less,Positive
738,"Hawthorne, California, USA",property nothing like wyndham hotel use one par motel 6 perhaps nice room utilitarian generic motel room one come expect hotel central ac controls wall control ac despite warn sticker controller room old fashion wall unit sound like jet engine room furnish cheep particleboard cover black veneer course room smell bit funky could old air conditioning unit glad nothing place sleep night read read less,Neutral
739,"Long Island , NY",pleasant time staff memeber decide enter room 930 morning check be not 11 a.m. respect privacy read read less,Neutral
740,Las Vegas nv,love hotel staff phenominal definitely back kid love outdoor heated pool read read less,Positive
741,Miami,check quick painless room much stain chair do not see first cushion flipped floor dirty shower dirty refrigerator do not work replace leave non work unit room damage wall window expect wyndham property especially price pay stay one night feel like important give proper room give available 4 star experience like 25 3 price worth pay disappointing stay read read less,Negative
742,Orlando Florida,hotel perfectly locate clean elegant feel safe check check quick read read less,Positive
743,"Bensalem, US",first time stay love naturally return second time hot check time 400 bit late taste book anyway arrive 600 pm room still be not ready check really also belong reward program suppose gift free internet service stay mention check clerk would not credit program good ok money pay fabulous read read less,Positive
744,"Oldsmar, Fl",stayed times property visit disney location great disney spring also convenient park use pool facility trip nice restaurant also available price reasonable even fee park additional resort fee staff friendly read read less,Positive
745,"Miami, US",room service would knock door none stop 830am make alot noice cleaning room next door hope well supervision also hotel need electric car charger supercharger read read less,Positive
746,"Avon, us",be not happy view room look straight parking garage roof top mechanic check 11 a.m. next morning wait another room clean check back day relax use resort amenity be not plan spend day next room nice excellent view staff helpful understanding sure stay resort read read less,Positive
747,Maidstone,ask pay room view unfortunately view get hope speak concierge could helpful give -PRON- key two room see either suitable take room view empire state building result extremely helpfulness concierge great stay hotel read read less,Positive
748,Loxahatchee Fl,property walk distance disney spring shuttle available take park however wait hour one go disney spring get back hotel also impression would pay 50 resort fee arrive hotel however case never inform would different amount staff member check check extremely upset one explain extra fee unfortunately long wait experience shuttle extra charge credit card stay read read less,Neutral
749,"Cleveland, OH",property look nice clean inside stay enjoyable read read less,Positive
750,"Destin, FL",like amount option food activity stay one quick night check around 8 p.m. able grab gelato swim play yard game pool bit everything close head bed downfall know exact cost parking fee arriving know go pay be not quite prepared pay 22night park however parking garage conveniently locate welllit spacious wyndham offer luggage cart help bring bag hotel read read less,Positive
751,"Houston, us",property well maintain bar tender back bay bar rude wife first drink afternoon go bar bc wife refuse let ruin day read read less,Negative
752,Disney Springs,expect 20 parking charge booking say exclude 25 resort fee expect 25 resort fee checking cost extra 45 thought read read less,Neutral
753,"Frisco, TX",property provide shower lobby bathroom schedule ride disney race restaurant food excellent within walk distance disney spring restaurant excellent seating area lobby relax read read less,Positive
754,Dayton us,picture accurate room door face outside view parking lot pool small vegetation overgrown room look well use read read less,Neutral
755,"Rockville, us",liked hotel make mistake check time understand read read less,Neutral
756,"Guildford, gb",amazing location great hotel lovely staff large room centre manhattan read read less,Positive
757,Tampa,everything nice pleased clean room customer service spectacular read read less,Positive
758,Staffordshire,excellent location view empire state building room amazing read read less,Positive
759,North east,nice hotel little drafty window room 1970 staff friendly helpful read read less,Positive
760,"Philadelphia, us",bug bathroom room smell really really bad especially room 1st floor carpet dirty shuttle run every 30 minute take much long call lyft time airport collect 25 per day resort fee could ride shutte bus run sporadically staff unprofessional provide inaccurate information even unpleasant talking person ticket boost read read less,Negative
761,"houston, us",rude manager careless housekeeper every step awful read read less,Negative
762,Southampton ny,location price value good eat good shopping read read less,Positive
763,"Midway, USA",centrally locatedwalke every would definitely go back staff friendly helpful courteous room small served purpose sleep shower bed good quality sleep well love shower head like spa tick tock restaurant good food open 24 hour read read less,Positive
764,"Nyc, NY",small room upset charge extra 25 small refrigerator room read read less,Neutral
765,Pismo,clean lobby friendly staff carpet tear room do not care much bed pretty hard fair bit freeway noise lot noise hallway etc quiet hotel go restaurant bar property could find well food small drive read read less,Positive
766,Flower Mound Tx,trash hall never pick entire time four day clean lady do not show first day second day turn heat get back room 58 read read less,Neutral
767,Winnipeg,1 know ahead time resort fee appreciate consider deceptive unfair practice us trade commission basically way advertise cheap price case double anything official disney advertise part allow expedia upfront small print 2 hotel clean good condition pool 3 counter staff forgot authorize parking pass almost get car tow 4 advertise two different rate park one outside 20 another inside counter staff tell -PRON- 15 5 use valet parking get charge tax valet parking 6 front desk fail tell -PRON- give -PRON- extra magic hour pass entitle hear 3rd party ask two day leave park 7 room noise proof read read less,Positive
768,"Petaluma, CA",big room two queen sofa sleeper plenty room -PRON- read read less,Neutral
769,"New York, NY",bad hotel ever arrival bed sheet stain blood report front desk even apology return need call several time clean room day show end ordering towel take forever get day room service do top buy toiletry never refill get money back hotel horrible enought husband end leave early read read less,Negative
770,"San Francisco, CA",check breeze hassle accomadating let -PRON- check 2hrs check time super friendly staff read read less,Positive
771,"huntington,NY",nice old hotel good location close everything bathroom super small bed be not comfortable perfect view empire state building overall maybe 3star read read less,Positive
772,"nagoya, jp",部屋の中に置いていたスーツケースが盗難にあいました部屋にもスーツケースにもきちんと鍵をかけていましたホテルの調査ではハウスキーパーが数時間ドアを開けたまま目を離していたとのことですがスーツケースごと盗られるなんて普通では考えられません出かけていた際に着ていた衣服と手荷物以外の全ての物が無くなってしまい散々な目に遭いましたディズニーワールドオフィシャルホテルということで安心していましたが盗難に遭った際の補償もなくセキュリティ面など不安だらけです滅多にないことだとは思いますがせっかくの楽しいディズニーワールドの思い出が最悪なものになりホテルの対応にも不満だらけのため厳しく書かせていただきました read read less,Neutral
773,"Lake Elsinore, US",stay saturday sunday 15 16 stay also year ago property change ownership bad need repair landscape checkin area maintain well room fall apart floor trim board fall wall paper come wall vinyl chair need redone carpet old change room handicap bathroom flood due level floor room look old 20000 night well stay place else next time read read less,Neutral
774,Canada,beautiful property offer plenty amenity family pool mini putt games etc restaurant offer delicious food always happy meal view room fireworks epcot magical read read less,Positive
775,Boyertown pa,close need food accessible cocktail lounge nice read read less,Neutral
776,"Anderson, IN",heated pool hot tub balcony every room easy access shopping family fun event like escape room trolley read read less,Positive
777,"Middletown, md",great location nice staff clean comfortable bedding read read less,Positive
778,"Champaign,IL",new yorker right across penn station could drop bag immediately explore nyc staff super friendly helpful room clean date nothing dingy subway outside door would definitely stay read read less,Positive
779,"Carleton Place, ON Canada",resort awesome nice seating area around lake beautiful view room could watch nightly firework read read less,Positive
780,Apopka Fl,many incidental charge resident pay tourist taxis read read less,Neutral
781,DC,location good transportation service also good cleaning service bad read read less,Neutral
782,"Los Angeles, California",get well rest simple descent hotel stay price reasonable read read less,Neutral
783,"Vancouver, Canada",nice hotel friendly staff nice hotel friendly staff read read less,Positive
784,"Parkland, us",amenity ok good size pool disappoint room smell mildew read read less,Neutral
785,US,bad hotel silicon valley ever unfriendly staff room accessible outside common sv still call hotel motel base experience every wyndham property dead read read less,Negative
786,Pamplona,céntrico habitaciones pequeñas como en todo manhattan tranquilo read read less,Neutral
787,"Hialeah, FL",clean spacious room 7 adult close attraction good staff read read less,Positive
788,Roma,lalbergo ha rispettato le previsioniil personale è stato gentile e disponibile e ci ha aiutato chiamare un taxi per laeroportolunica problema è che risulta abbastanza distante da manhattan read read less,Positive
789,"Irvine, CA",first time wyndham never stay arrive nye weekend check around 7 pm arrive hotel staff present go front desk ask help suitcase arrive room minifridge none available terrible situation try celebrate nye right make organized pile trashbottle corner throw note ask vacuum trash be not throw vacuum water questionably warm two creamer provide tv guide confusing would not give show name room clean staff friendly would expect wyndham read read less,Positive
790,Montana,room smell bad cheek go switch room front desk give hard time want like fault book thru directly get penalize finally get room make see new room blow cold air cold take day finally switch room stay property year use great new front desk staff weak customer service read read less,Neutral
791,"New York, NY",family orlando visit family enjoy nearby attraction theme park long day hope pull easily accessible parking space near hotel room unfortunately case evening return property double park car carry sleep child inside come back look parking building walk back room wyndham orlando resort allocate least one parking space per room clearly label conveniently locate stay cable also go least 2days staff acknowledge matter look confirm technician onsite nothing additional do one able provide eta service would restore staff offer way family keep entertain room eg portable dvd player board game art craft last least housekeeping staff fail replenish towel two occasion first time let go make due however 2nd incident reach ask towel deliver room property prime location purpose unfortunately return read read less,Positive
792,Palm beach Gardens,slide glass door patio do not work hard time go patio although pay patio room read read less,Neutral
793,New York,treat -PRON- great since moment walk stay 3 different hotel vacation one good read read less,Positive
794,Peterborough uk,amazing location that s end hotel tired date fact bit grubby book rollaway bed direct hotel arrive 11 p.m. tell none leave haggle hour manage find one take hour bring room 3 seperate occasion room key work reactivate eat tick tock diner 3 time wait staff lovely 2 seperare occasion get food wrong definitely 4 star hotel lije 2 star plus would definitely stay recommend read read less,Positive
795,Chelmsford,convenient location walkable distance time square upgrade 40night well city view room coffee machine fridge furniture look old rain lot new year eve water leak thru one windows fact see bug bath room bath room clean read read less,Neutral
796,quebradillas,increíble read read less,Neutral
797,"Tracy, CA",lobby nice welcome however carpet hallway second floor need serious vacuuming sink room 278 cold water tile could mop bed comfortable pillow awesome read read less,Positive
798,Los Angeles,spend night new year eve celebrating disneyland check easy receptionist friendly helpful room clean modern design king bed super comfortable great night definitely stay read read less,Positive
799,"Pikeville, Ky",terrible place stay room horrible hair everywhere lint alarm clock nasty floor nasty room smell like sewer room front ice machine know wrong puddle water right walk room never stay would mean recommend either unsatisfied expedia need change rating hotel read read less,Negative
800,Puerto Rico,el aire acondicionado muy ruidoso el ruido entre anotaciones las paredes necesitan más undulación los alrededore del establecimiento excelente read read less,Neutral
801,Queretaro mexico,age detail repair carpet really jeopardize stay alérgica people read read less,Neutral
802,"Catania, it",bellissimo hotel ad orlando con servizio navetta proprio per parchi disney read read less,Neutral
803,Puebla,hotel precioso poca sensación de servicio read read less,Neutral
804,"Exton, PA",overall good hotel resort love share amenity multiple pool option include one kid age staff area friendly helpful read read less,Positive
805,barcelona,hotel céntrico cerca de times square pennsylvania station empire justo delante del madison square garden fantàstico encanto de los años 30 read read less,Neutral
806,NJ,pay new yorker view suite check go get room floor last second room number change 4001 786 upon arrival room give suite however view brick wall another hotel window contact guest service say would able waive fee since long room pay say would able switch room follow day 12 several conversation finally switch correct room however compensate mistake pay well room credit read read less,Neutral
807,Sonneberg,super location alle fußläufig erreichbar und ein noch tolles alt charmante hotel read read less,Positive
808,Martinique,super hôtel bien situé personnel très accueillant read read less,Positive
809,"Guanajuato, México.",hotel en buen estado limpio cómodo camas confortable buen espacio en las habitaciones bastante cerca de disney como para trasladarse caminando está cerca caminando de locales de comida rápida de buenos restaurante de farmacias donde uno puede encontrar variedad de víveres el personal del hotel nos atendió de muy buena manera con mucha disposición amabilidad read read less,Neutral
810,Chula vista CA,pretty clean lool new modern two block disneyland main entrance well worth 1015 min walk tell -PRON- be never stay one across street motel disney charge parking resort fee wyndham hand none charge much nice hotel room rate well stay next visit park read read less,Positive
811,"Birmingham, AL",liked location property close universal studios park reason go orlando notice first night door would not lock unless door slam shut let front desk know say would address major concern since would park outside room majority day want sure clean staff aware issue arrive back room door unlocked push door anyone could easily enter room let front desk know issue never resolve thankfully one take anything room major issue people travel valuable read read less,Positive
812,Florida,always great time wyndham staff get -PRON- room quickly room always nice clean read read less,Positive
813,New Jersey,family stay beautiful resort 5 day love staff really friendly helpful resort offer lot amenity kid shuttle bus disney park also great highly recommend property read read less,Positive
814,San jose california,hotel honor agreement agree expidia acomidate situation do not even see refund back card put room heater work disapointe read read less,Positive
815,"Mönchengladbach, de",sehr zentrale hotel um die new york zu erkunden wir hatten ein nicht renovierte zimmer das die jahre gekommen aber ok war einzig anzumerken ist die dusche wirklich die temperatur einstellen war nicht möglich heiß und kalt war drin aber normal leider nicht read read less,Negative
816,Camuy pr,excelente hotel servicio de primera hubo inconveniente read read less,Neutral
817,Louisville Kentucky,lobby gorgeous make feel really special walk read read less,Positive
818,"Lincoln, CA",stay hotel convenient location really disappoint room 210 last stay upholstered furniture badly stain brown smear carpet wheel chair desk jammed chair difficult move stay two night towel washcloth leave bath replacement first night remove replace staff pleasant friendly associate restaurant across parking lot adequate nothing special read read less,Negative
819,"Miami, Florida",pictures expedia true representation property guest registration area renovate staff courteous drive find building room locate prepared haul luggage flight stair property elevator second floor room small appear online outdated cleanliness poor good balcony dirty sit area stain moldy use expedia travel need never leave feedback feel unacceptable read read less,Neutral
820,New york,great thought would low budget resort base rating judge exterior great room view beautiful amenity offer great also restuarant hotel directly next delicious hardlly reason leave facility read read less,Positive
821,"Dallas, Texas",loved location service lack towel hard get reason phone work order cable 2 day read read less,Neutral
822,"Huntington Beach, CA",property many pool restaurant around lake room good size quieter hotel room staff helpful give information 3 separate occasion bus disney free driver give free water use entire day read read less,Positive
823,"Atlanta, GA",kid room 2023 next mine scream run floor parent seem little stop activity 10 a.m. morning disturb sign door awaken sound kid scream top lung run around outside landing room wonder restaurant kid restrict clean hotel maintain ok terrible want peace quiet read read less,Negative
824,Houston Tx,charge resort fee bathroom flush work check even coffee cup place room service read read less,Neutral
825,Canada,place dirty never clean room even though take tip every time read read less,Negative
826,NY,hotel close parksnot much night entertainment expensive read read less,Neutral
827,"Magdeburg, De",ungenügend wegen des ersten zimmers vorbeigeschrammt zunächst erhielten wir ein zimmer dessen fenster defekt war und durch das es zog dass es eisekalt war kurz klein dunkel muffig kalt wir waren entsetzt nach reklamation sehr nette rezeptionistin bekamen wir ein toll zimmer größer hell warm und mit schönem ausblick dewegen haben wir jetzt mit sehr gut bewertet hotellage ist top und verkehrsgünstig für das frühstück empfielt sich das bistro essen ca 100 m 8th ave richtung uptown read read less,Negative
828,Ft Walton Beach,super close disney spring short walk basically across street bus service fairly reliable christmas make pick up end day little hectic hotel great staff top notch read read less,Positive
829,Montreal,hotel bien situé et ideal pour sejour de 34 jour piscine chauffée et bain tourbillon trés apprécié read read less,Positive
830,gb,give help find room receptionist seem new uncertain read read less,Neutral
831,Yakima Washington,loved facility thought neighborhood be not nice great anyway read read less,Neutral
832,Northampton,couple problem rectify check give room card explanation go ask information desk read read less,Neutral
833,"Fairfax Station, VA",great location excellent view staff courteous helpful make stay wonderful read read less,Positive
834,Washington DC,nice sunset area outdoors though careful booking sunrise room much nicer read read less,Positive
835,England,great location 5 minute walk time squsre 2 minute penn station read read less,Positive
836,Flushing,style comfort quite nice floor ceiling window put top tremendous view can not grade amenity sleep much else cable channel value promotion would recommendation future read read less,Positive
837,"Williamstown, NJ",nice hotel family stay issue read read less,Neutral
838,Rice Lake WI,view beautiful great location fly john wayne airport read read less,Positive
839,"London, gb",clean staff pleasant welcome snd helpful check easy amazing location read read less,Positive
840,NY,lobby beautiful staff nice room seem clean room small cheap old amenity even water anywhere else country would motel 6 level room read read less,Positive
841,"Farmington, Mn.",history legacy location convenience pleasantly surprised professionalism display staff read read less,Positive
842,"Spring, tx",hotel literally close action disney spring walk across walk bridge -PRON- be plus offer free shuttle disney parks price awesome room bit small can not beat price 25 resort fee 20 day parking still good price read read less,Positive
843,"Frisco, TX",awful experience definetely go book another stay property lobby look nice walk building room locate compare motel room musky odor twice throughout stay staff cleaning staff try open room early morning charge resort fee yet internet never work great disney vacation ruin bad experience hotel read read less,Negative
844,"Toronto, ON",property excellent clean well maintain staff top notch facility perfect condition excellent choice read read less,Positive
845,"Manchester, UK",great location close penn station block macys within walk distance time square room rather small especiallly two people room also room little outdated although clean read read less,Positive
846,"Portland,Me area",friendly staff clean room view could better do not spend time room much anyway bed clean comfortable would definitely stay read read less,Positive
847,"Waco, TX",hotel old picture website mislead room look spacious reality small barely space walk room probably 12x12 room super small bathroom -PRON- be sure get 4 star hotel read read less,Positive
848,Surrey UK,hotel great location literally across one bridge disney springs foyer main section hotel beautifully decorate great facility welcome ground level room feel slightly motel first glance room block car park directly front however inside great standard nicely furnish little dark choice do not want open curtain onto car park shower great everyone encounter work friendly happy help bus service park great easily par disney service one worry long do not mind visit multiple park way one -PRON- be go tip want go epcot miss bus get magic kingdom one drop monorail station epcot get bus disney spring back later walk stop hotel easily price location happy overlook room location -PRON- be go spend time park -PRON- will really night much issue first expect -PRON- would definitely consider stay read read less,Positive
849,Pennsylvania,staff pleasant helpful hotel clean comfortable pleased great location madison square garden subway read read less,Positive
850,"Gainesville, VA",blocks times square rockefeller plaza right across street nypd station read read less,Neutral
851,Chicago,staff friendly hotel great location cool know history nikola tesla live live new yorker read read less,Positive
852,"Berkley, MA USA",excellent service location extremely comfortable bed sleep thru entire night february 2019 read read less,Positive
853,"Orlando, FL",love friendly staff location price beautiful hotel read read less,Positive
854,Cannes,hotel accueillant chargé dhistoire très bien située vintage et dépaysant nous avon adoré seul bémol les salles de bains hyper vieillote read read less,Neutral
855,Panamá,muy buena la estancia como siempre muy cómoda la habitación el personal muy jy amable read read less,Neutral
856,"Bronx, ny",holiday decoration nice hotel clean room nice read read less,Positive
857,Boston,well appoint facility please decor quick walk penn station desirable site floor feel tad gritty lipstick smudge pillow case probably stain leave cleaning still put read read less,Positive
858,San Francisco,new york staple great hotel room date bit difficult get lyft pick certain time day decent room bathroom pretty small old room read read less,Positive
859,las vegas,book 1 king bed 3 night thru expedia give 2 full bed request available king queen beds next night tell available request bed every night tell reservation king bed always guarantee book thru place clean accessible room service great except reservation king bed provide give double bed instead due available king bed husband sleep separate bed throughout stay read read less,Positive
860,"Carmichael, CA",go spot go disneyland super close staff take care -PRON- thank stacey bui remember daughter birthday harlow nice enough share chocolate read read less,Positive
861,"Miami, FL",hotel interior amazing woman check extremely sweet helpful complain could not use luggage cart without staff member wait someone available end fast carry read read less,Positive
862,"Boston, us",truly disappointed checked picture nothing like hotel picture make seem hotel would 4 star way like 2 lobby nice everything else seem old broken outdated read read less,Negative
863,"Tampa, Florida",location cost awesome great value comparison competition do not like landscaping read read less,Positive
864,Rochester,thought booking bonnet creek grand photo show kitchen suite receive read read less,Neutral
865,Rochester BY,crustie inside comforter thankfully closet extra comforter read read less,Positive
866,"jacksonville, Fl",mohammad receptionfront desk welcome efficient get visit stay new york great start read read less,Positive
867,"Tampa, Fl",hotel lobby nice welcome room ready extremely early work -PRON- check quick easy super close disney spring good value issue elevator get room break take stair happen big deal room strong smell clean huge deal hit like brick first walk though pleased read read less,Positive
868,"miami, us",room worth price basic tiny bathroom flimsy slide door lobby pretty awful smell bad air freshener use bus use transport people park play graphic movie inappropriate young child also part bus collapse woman head overprice certainly do not call resort fee top nightly fee read read less,Neutral
869,"Whitley Bay, gb",conveniently situate midtown manhattan close attraction shop courteous staff lot hotel history read read less,Positive
870,"Liverpool, NY",like fact check room key let people elevator read read less,Neutral
871,"New Jersey , us",couple item fix like blind working breakfast need improvement put yogurtrooms small read read less,Neutral
872,"Jacksonville, fl",nice staff also clean nice quaint feeling would definitely stay read read less,Positive
873,"Denver, CO",good friendly staff especially night front desk clerk great location disneyland freshly renovate property fairly large room good view coffee shop price extremely reasonable bad coffee shop sell seattles good towel hook room partially pull wall elevator pretty slow limited parking ugly see quite large roach hallway although could due renovation homeless float around parking lot harmless road construction make get property little challenging read read less,Positive
874,"Orlando, Florida",great service nice room area around nosy hotel locate sketchy area anticipate also resort motel style typically hotel overall worth price read read less,Positive
875,Trinidad,good location room small though clean comfortable staff courteous read read less,Positive
876,NYC,close penn sration subway connectivity hotel slightly outdate good provide coffee maker room without call desk read read less,Neutral
877,"RSM, USA",initially enjoy experience problem appear room late night inwa bar hour prior stop drop bag wife head enjoy martini get back upstairs notice pretty cold room correct turn heat bit high night go room become cold attempt walk lobby see empty 5 min go upstairs figure long story short room get 58 degree someone allow start process change room around 2 a.m. originally issue be not enough staff help person phone finally come enough complain get another room 78 degree room almost 55 degree staff member enter room surprised fact break night morning spend deal prevent get anything do end fighting clock get work do check check try communicate night staff member actively avoid convo never even ask night end finish work lobby morning meet great hotel perfect location relation client also room can not perfect would nice much well communication response read read less,Positive
878,New York,close everything sure could use update read read less,Neutral
879,Uk,room unclean freezing cold take numerous complaint give another room shower could regulated read read less,Neutral
880,"Stafford, VA",location hotel fabulous right across walk bridge disney springs able use disney transportation option room be not anything speak pictures wall drab stays room disney real complaint check arrive early certain room would ready lady check -PRON- say since check 1100 arrive early would first check room available 230 check back tell second line see other check receive room 345 stand line see room ready two check in room reserve check immediately give key explain clerk immediately room course suppose receive phone call room available hour prior never receive one need improve check process ask read read less,Positive
881,"Ponce, PR",clean descent place stay beautiful lobby room really noisy hear everything that s good thing want rest parking pretty far sunrise section cross hotel get car read read less,Positive
882,"lutz, fl",beautiful hotel great location close disney disney spring read read less,Positive
883,"Wayne, NJ",favorite hotel area hotel busy time year offer upgrade staff nice read read less,Positive
884,Lehigh Acres Florida,hotel complex beautiful could find plenty without leave ground staff helpful friendly would recommend everyone read read less,Positive
885,Mississippi,cover orange stain employee service desk charge twice read read less,Neutral
886,Southend-on-sea Essex,beautiful old style hotel lovely decor fabulous location staff lovely friendly accommodate 2 double bed metro room beds sooo comfy fussy sleeper house keep good job quibble would bathroom bit worn need tlc inkeepe style bath scratch worn tile wear n grubby bathroom tiny knee touch door open whilst loo problem really think -PRON- would mention concierge call catherine favourite know everything subway go wherever need super friendly email ask view empire state building month advance teenage daughter first time america do not disappoint spectacular view also view side hotel madison square garden would definitely stay diner attach hotel tik tok diner ok friendly clean food bad perfct quick bite ooen 247 hotel christmas tree general christmas decor beautiful ott lovely also little museum downstairs show memorabilia utensil photo poster etc day old new yorker well worth look definate must stay -PRON- would read read less,Positive
887,"punta gorda, fl",sure 25 resort fee property standard amenity every hotel area otherwise would recommend read read less,Positive
888,Ayr Scotland,stay one night hotel clean bed comfortable read read less,Positive
889,"San Diego, us",room renovate clean property outside look bit run read read less,Neutral
890,"Hollywood, Fla",good clean deposit fee need address parking also read read less,Positive
891,"Calgary, ca",recommend property bonnett spring highlybeautiful ground great set close thingsstaff wonderful read read less,Positive
892,Dinuba California,elevator mother disable stay us time would hard time climb stairs hassle boyfriend hauling luggage take multiple trip bar decent though staff friendly read read less,Neutral
893,Tampa FL,convenient house blue front desk staff friendly valet staff awesome helpful get -PRON- park hooked ride show run late read read less,Positive
894,Virginia,enjoy stay construction street nyc nothing new do not really affect travel young concierge helpful get wake call morning travel unfortunate luckily able rush get time read read less,Positive
895,"Antony, FR",hotel un peu vieillissants mais le comfort est correct et son emplacement de premier choix read read less,Neutral
896,MIGNANEGO - GENOVA - ITALIA,fabulous hotel convenient everything highly recommend read read less,Positive
897,San Antonio Tx,love around corner disney springs characters breakfast read read less,Positive
898,Orlando,close disney spring nice staff pretty christmas decoration comfortable bed read read less,Positive
899,Brisbane,lovely newly renovate hotel around 10 min walk disney gate lot great food option nearby read read less,Positive
900,Brooklyn,love everything could not ask well customer service read read less,Positive
901,"Bethlehem, PA",like fountain front wonderful lobby area could not find bellboy help 89 year old mother luggage pool area lovely truly idea room outside access guess that s garden mean put -PRON- parking lot side ask change poolside interior quieter courtyard able luckily accommodate us room nice front blind curtain configuration strange person notice small thing like chip paint keeping appearance etc would stay do not like outside access might concern someone else though read read less,Positive
902,"Austin, TX",quiet spot close highway seem like -PRON- be slowly renovate room part bathroomfloore furniture look newernicer rest restaurant across parking lot within walk distance coffee downstair lobby morning lady check rush lot speak really fast lady check next morning pamela sweet accommodate read read less,Positive
903,"Leicester, UK",excellent location great bed good shower give fantastic room empire state building view read read less,Positive
904,"Cincinnati, Oh",perfect locationexcellent staff accommodation read read less,Positive
905,"OS, Ms",request early check available would call room ready okay leave luggage hotel call early afternoon clerk rude info room return hotel 4 pm long line guest wait go room wait line get suitcase front desk ridiculously rude hotel expensive amenity food service coffee shop attach hotel expensive overall condition hotel property aweful read read less,Negative
906,"Deptford, NJ",loved location historical significance hotel muhammad concierge instrumental provide -PRON- welcome service acknowledge birthday bottle wine later ask could use coffee maker send one room cordial accommodating read read less,Positive
907,Ratingen,sehr sehr schöes hotel toplage nah empire state buildingmadison square garden und macey auch zum times square nur 10 minuten würde ich beim nächsten aufenthalt sofort wieder buchen read read less,Neutral
908,"San jose, ca",nice friendly staff room clean neat lot park shutter airport read read less,Positive
909,"Hidson Valley, US",accommodate super polite staff convenient coffee ane dining option everything make easy hotel thank read read less,Positive
910,Gainesville VA,take girls trip nyc six adult woman family room perfect need two nice size bathroom load place sleep mention bar spacious sized room convenient location walk sight walk train station love could store bag check yet overall great jog tryp read read less,Positive
911,"lakewood, oh",great location -PRON- be go madison square garden macy room small otherwise fine read read less,Positive
912,Regina Canada,property great location travel anywhere read read less,Positive
913,White sulphur springs wv,wonderful time staff wonderful read read less,Positive
914,Victoria,maid service ask something specific maid instead clean never come back room service breakfast 40 dollar bell man available require room noisy despite many room available think give one bad one get deal expedia buffet breakfast good service nice read read less,Neutral
915,"Phoenix AZ, us",hotel staff professional helpful upon arrival read read less,Neutral
916,New York,nice hotel middle chinatown great view step away tour tour 4 fun next morning read read less,Positive
917,New York City,hotel great exception hot water shower read read less,Positive
918,"Long Island, NY",bathroom disgusting leftover hair drain mold slide rail room cold matter high put heat read read less,Negative
919,panama,muy bueno todo lo unico que el parking es costoso read read less,Neutral
920,"Atlanta, GA",view great heating broken room wake shivering sick read read less,Neutral
921,The OC,love modern state art design furniture room bathroom door slide nice touch bed extremely comfortable also type shampoos body wash pleasantly scent read read less,Positive
922,Berkeley,clean nice room great staff everything room work great stay beautiful courtyard read read less,Positive
923,CO,pretty nice hotel close airport good price orbitz read read less,Positive
924,London,central everything want new york first time pleased choice hotel shower bit dodgy though remind burst leak pipe room immaculate 21st floor slightly date level cleanliness grumble plug socket great whatever plugged keep fall really careful face hidden facility charge good gesture bill halve facility charge include everything intention use ie conference room gym room telephone etc unfortunately mandatory fee would stay hotel read read less,Positive
925,Bardonecchia,centralissimo comodo pulito un po datato confortevole personale gentilissimo read read less,Negative
926,Canada,always stay great hotel staff like nyc read read less,Positive
927,New York City,like parking space provide complimentary breakfast thought would include room clean daily read read less,Positive
928,Oklahoma,stay room 115 disappoint keep room sink faucet barely long enough reach sink every time turn water would get onto counter top also break tile corner bathroom read read less,Neutral
929,"San Jose, CA",everything expect andor exceed expectation thank u read read less,Neutral
930,"Chicago, us",address provide be not recognizable call ahead make sure get exact number overall front desk staff be not professional langue barrier slow wait 20 min check give wrong key go back place 100 hold card get room extremely small tv channel do not work luckily stay hour due long layoveri would not stay anything 24hrs read read less,Neutral
931,miami,il ny avait pas tout le matériel décrit dans la chambre ils ont laissé un plateau de repas vide par terre dans le couloir pendant deux jours devant la porte dune chambre où sont les gen qui supervisent côté matériel un mini frigo dan les chambre mais qui est plutôt un petit freezer ne peut pas mettre grand choose read read less,Neutral
932,"Sunrise, FL",nice room swimming pool however shuttle bus service misleading read read less,Neutral
