,Location,new_reviews,Comp
42,WPB,front desk nice never answer phone property far lobby read read less,Neutral
44,Cape Coral,liked location convenience store bar price high read read less,Neutral
49,New York,do not like trouble check also tgat key be not work even get new one also u get charge card lady front desk ask card -PRON- would card tell would not get charge everything pay ready read read less,Neutral
50,Los Banos,room keep pile wallpaper old soap shower pool area keep include jacuzzi work read read less,Neutral
53,Japan,like location close many place read read less,Neutral
65,Galt,do not accomodate need two queen beds family read read less,Neutral
68,"New York, NY",property need renovate old fashion read read less,Neutral
73,Illinois,picture appear book location mislead dingy price motel worth money pay call upgraded room receive room balcony overlook horrible landscaping busy parking lot request room clean room clean staff member rude def look resort option future read read less,Neutral
80,Midland TX,do not like room one tv never work read read less,Neutral
82,Washington,comfortable 1 7 night stay hotel rent two room change day 3 due cold shower prior two night hot water entire hotel go lie several hour fix instruct run water 15 minute 2 minutesuntil go desk finally say repair begin another cold shower leave morning return bed water dripping air conditioner vent ac work correctly since could not fix furniture move side drip area mean could not sit bed without hit head light ac evening next day lie say fix call move furniture back look see water vent push furniture sleep like rest stay without ac work properly talk every single manager get nowhere wait two hour one morning day 6 speak director operation accuse lying would take customer word employee take 6 day one room second room change day first smell like rotten egg entire time maintenance nothing director operation be not willing anything read read less,Neutral
84,Oregon,nan,Neutral
92,"Springfield, MA",liked close hotel disney spring read read less,Neutral
97,Ann Arbor,pool surround area actually quite nice gripe one member clean crew work middle hallway cart approach do not move -PRON- look -PRON- squeeze awkward unprofessional read read less,Neutral
100,Carlsbad,hotel premise room clean use jacuzzi sunday evening need service read read less,Neutral
103,Rotterdam,de ligging middenin manhatten echt uitstekend service vrinedelijkeheid faciliteiten zondermeer teleurstellend read read less,Neutral
109,Northboro,garden hotel section market appropriately room outdate dark constantly feel moist 3 day bathe suit hang bathroom would dry pick hotel realize stark difference stay garden section vd tower express book material pool fine 2 adult kid section get away constant massive float rent splashingyellind child pool say close 9 p.m. hear 11 p.m. least screech kid pool garden section read read less,Neutral
110,"Henderson, NV",great clean place stay disney trip bit walk bad convenient starbuck walgreen nearby comfy bed nice shower negative beep trash truck early morning guess can not helped read read less,Neutral
113,New Jersey,give late 90 feel small room close penn station lot homeless outside dark read read less,Neutral
117,Sydney,shower crap room dirty old lift take long check take long good thing location hotel read read less,Neutral
118,東京,朝食付きで予約したのですが伝わっていなかったようでちょっと苦労しましたエクスペディアのitenaryにも日本語表記だけしかなかったのでその点の工夫はお願いしたいです read read less,Neutral
125,Québec,bien situé spacieux belle apparence ascenseur fonctionnent moyennement et air climatisé brisé dans toute les chambre pendant plus de 12 heure il faisait 27 dans notre chambre pour 6 personne read read less,Neutral
126,West Palm Beach,try defend cost parking be not post receipt site pull page check extra 22 day bull go business should not hide charge site vice versa expedia nothing hide thank must honor paper write do not read read less,Neutral
128,Truckee,cancel reservation inform -PRON- go expedia get refund read read less,Neutral
150,Reno nv,entrando la lobby se bien limpio pero una vez entrando al cuarto está más chico de lo que aparenta en las fotos los cuartos huelen feo sobaco la carpeta está sucia en la tina encontramos dos insectos read read less,Neutral
152,Buenos Aires,las habitación era pequeña pero estaba bien un frigobar podría estar bueno si es que uno desea tomar algo en cualquier momento read read less,Neutral
156,"Jersey City, NJ",like fact that s close international drive however room put opposite side idrive activity would suggest stay build 56 7 close idrive activity versus back wawa parking lot read read less,Neutral
157,Los angeles,stay 3 night do not clean make bed even give -PRON- new toiletry rain could not use pool can not review part need maintenance building roof dripping inside room hall stair read read less,Neutral
161,"Plantation, FL",short walk distance disney spring clean environment read read less,Neutral
163,Modesto,room feel like motel 6 seem date old read read less,Neutral
164,Lake Buena Vista,pool area close early can not common pool patio past 11 pm later hour allow weekend day read read less,Neutral
165,"Browns mills, NJ",sure ask corner room big breakfast good range egg belgian waffle sausagehashbrown cereal oatmeal parking bad be not park lot find parking surround street unless get valet parking that s ny general read read less,Neutral
174,"Fayetteville,NC",do not mini fridge microwave bit small read read less,Neutral
176,Palm harbor fl,hotel nice price high though charge parking much read read less,Neutral
179,Newark ca,pleasedcleaneverything go well hotel well go back whenever los angeles area read read less,Neutral
183,"Atlanta, GA",arrive 1130am last saturday tell checkin 4 p.m. also group 100 loud girl lobby tad annoy ok 355 go front desk room still ready first red flag another family ahead -PRON- seem issue arrive noon go back line 4 p.m. room be not ready point ask speak manager 20 minute wait manger come front desk sudden room ready -PRON- go room wow madness continue bug room toilet would not flush safe working hotel room look like dump do not look like reserve call front desk speak manager switch room another one tell two building hotel one request tell could switch tower next day extra costthe next day go epcot come back pick room key 9th floor tower fall asleep hour later keep hear loud girl hall slam door singe one point music go whole night place 9th floor 100 girl area block next day breakfast ask night say terrible due noise teen even staff know read read less,Neutral
184,Kansas City,restaurant close private party go eat take child bar read read less,Neutral
185,Rhode Island,pool amazing woukd well would one lazy river would designate adult rule staff enforce really be not rule kid jump diving pool lazy river parent do not watch kid housekeep lack little room do not get clean late every afternoon read read less,Neutral
187,San Francisco,location could not well close train walkable low east side soho little italy well chinatown great access restaurant shop really nice people work hotel pullout sofa bed terribleour son end sleep floor say well terrible mattress also one drawer closet odd put clothe desk nightstand room small dresser suite seem like oversight mostly pleasant stay read read less,Neutral
189,Atlanta,old school building lot character bathroom could use deep clean read read less,Neutral
192,ny,所有一切我都满意只有对一个女员工的服务态度极其不满意她有种族歧视还有就是他们运作模式有问题我本来入住时间是3天这3天的钱我是在网上付的信用卡然后我在入住后的第二天到他们的前台和他们说我想在多住一天他们说可以只要在付这一天的钱就可以了于是我就当场付了现金给他们但是当我退房的时候前台的工作人员告诉我说他在电脑系统里没有看到我付的最后一天的钱我对他们说钱我是付了你们可以去查看监控系统我告诉他我当时付现金给那位小姐的日期时间于是他们说他们会调查清楚这件事情我真的很不开心希望他们可以给我个说法 read read less,Neutral
200,London,room small appreciate staff deal customer time year busy be not helpful request change room change room 2 time one move smelly luggage storage cost 5 per case money suck pay service really complimentary read read less,Neutral
203,Maryland has,nan,Neutral
204,Sacramento CA. 95838,nothing nothing else say ok nothing special read read less,Neutral
209,South Miami,check quick walk sky ridge disney speing read read less,Neutral
214,Amesbury,breakfast excellent room tini tiny parking situation weird read read less,Neutral
216,"Indianapolis, IN",plenty option activity family do not include park trip stand alone fun read read less,Neutral
221,Ft. Lauderdale,place market hotel reality motel nice lobby clean see age property book base picture disappoint read read less,Neutral
222,Virginia,expect maybe next time do not check hotel read read less,Neutral
223,Stuttgart,die lage ist top penn station ist direkt gegenüber das hotel ist etwa älter hat aber charme viele touistenattaktionen sind gut zu fuß erreichbar viele einkaufsmöglichkeiten unmittelbarer nähe je nach zimmergröße genügend platz für zwei personen der endpreisist immer höher da diverse steuern und nicht enthaltene leistungen zimmermädchen noch extra berechnet werden aber für hiesige verhältnisse gutes preisleistungsverhältniskann man empfehlen read read less,Neutral
228,Miami,really like pool location building stay look really outdated need lighting read read less,Neutral
231,"Lutz, Fl",extra 20 per day parking fee top 25 dlr resort fee read read less,Neutral
232,Lake Buena VistaI,closet bathroom sutiable 4 person bed without bedspread therefore dust bed clean room poor room money read read less,Neutral
233,International,location good easy 20 min walk broadway lot construction block hotel surround area feel dirty little scary read read less,Neutral
235,"Key Largo, Florida",excessive fee hidden expedia parking fee easily overlook resort fee drive actual cost hotel 45 extra per night hotel fault make price end cost put bold hidden atbthe end drip menu deceptive expedias part cost business forever sneaky business practice fool other -PRON- be sure read read less,Neutral
239,大阪,サンノゼ国際空港まで近くて送迎もあり便利ですね read read less,Neutral
244,Guadalajara,lo mejor las vistas lo peor los baños pequeños su falta de mantenimiento read read less,Neutral
248,Georgia,do not clean sheet remade bed also do not clean bathroom empty trash give new towel read read less,Neutral
249,Hongkong,location close chinatown convenience room rate reasonable read read less,Neutral
251,東京,バスタブ付きのお部屋できちんと熱いお湯も出てゆっくりお風呂に入れました 町の中心部にあるホテルなのでどこに行くにも便利でした read read less,Neutral
252,NY,near disney springs 510 min walk facility clean likely stay beware timeshare offer read read less,Neutral
257,Buckinghamshire,proximity hotel close subway good access sightseeing read read less,Neutral
260,Pa,beautiful resort 5 pool 2 lazy river 5 minute disney resort read read less,Neutral
264,"Seattle, WA",get room great view big complaint resort fee 35 pay extra check also charge 5 bag concierge hold bag hour stay hotel country world absolutely first time ever charge service think ridiculous would stay read read less,Neutral
269,Cincinnati,much style nice seem new lot thing break read read less,Neutral
272,seattle,room modern great decor one plug close bed unplug alarm clock plug cpap machine put alarm clock across room read read less,Neutral
276,São Paulo,quarto confortável e bastante silencioso um ponto negativo foi pessoal da limpeza tentar entrar quarto enquanto eu ainda estava lá read read less,Neutral
278,Miami,nickeled dim 22 self park 35 resort fee daily basis read read less,Neutral
282,Burlington,bathroom way small price feel mini fridge microwave dark roast coffee dark roast coffee lease read read less,Neutral
283,"Clover, SC",self parking dark room back loading dock get late walk dark property front picture look nice room back disappointing read read less,Neutral
284,Sacramento,nonrefundable reservation plan change last minute arrange step daughter use room require deposit send documentation necessary deposit charge account day check could not find document email accord instruction make check huge hassle daughter staff less helpful every time talk step daughter say room nice staff service horrible will not stay future read read less,Neutral
285,Wilkes-Barre/Scranton,receptionist try bait switch -PRON- room pick online get try make pay 5000 ton fee facility charge bill expensive worth date read read less,Neutral
287,Puerto Rico,comodo limpio buena ubicación precio razonable para la localización read read less,Neutral
289,Arabia Saudita,la ubicación del hotel es fantástica conserva la decoración ambiente de los años 30 deberían actualizar los baños e incluir un refrigerador en las habitaciones read read less,Neutral
290,Halifax,loved location little worn dated read read less,Neutral
293,Québec,lemplacement cest le gros point fort cest près de tout metro macys madison square garden nous avon été déçus de la chambre eu un light double alor que la réceptionne nous avait indiqué un lit king mais le pire cest la chaleur dan la chambre la climatisation était défectueuse il faisait 256 degrés pas dautre chambre dispo read read less,Neutral
295,Detroit,pool nice well cafe open night trouble staff call hotel ahead time ask hotel fee tell be not get pay 167 dollar fee question staff staff member rude unwilling help listen concern bus also do not run time park read read less,Neutral
297,Magee Ms,like way check handle abdule front desk could get debit credit card work become frustrating able get go also state problem time expedia reservation read read less,Neutral
301,Oslo,rydde på rommet hver dag veldig sentralt subway ved siden av hotellet ingen bar ell restaurent på hotellet litt slitent man beliggenheten me gå avstand til veldig mange severdigheter gjør sette til ett yppeeøig utgangspunkt hva resortfeen skal dekke er ubegripelig trimrom er det de har read read less,Neutral
305,Jacksonville,everything average nice room luxury feel read read less,Neutral
308,Plano TX,quiet clean walk restaurant short ride jfk read read less,Neutral
321,Edmonton,location good add fee include quote cost read read less,Neutral
323,Miami,everything nice one hot tub 3 day pool area pack read read less,Neutral
326,ROC,飯店整體物超所值折價時一晚約100美金房間乾淨又舒適冷氣夠強房間內部照明稍微暗飯店附設的餐廳非常好吃唯一的缺點是當有人在走廊講話的時候房間內會聽得非常清楚很怕半夜有人在走廊上講電話 read read less,Neutral
337,Montréal,très bel hôtel bien situé avec un personnel dévoué toujour à lécoute de nos besoin très bel terrasse sur le toit belle vue des chambre soho little italy chinatown tous à quelques minute de marche read read less,Neutral
338,"Kent, Ohio",drawer clothe storage room fridge microwave luggage cart get thing room doorman charge 50 early check run hot water 1 morning sink drain slow close enough time square warrant lack convenience high cost read read less,Neutral
345,"Fort Lauderdale, Florida",overall stay ok hotel old pool hot tub pleasing lot space couch lobby wait several hour checkin disappoint see one night staff frontcheckin desk flossing tooth disgusting read read less,Neutral
346,Gallipoli is a small Island with a Radius of 500m,nan,Neutral
347,US,next lot use homeless camp tent garbage everywhere move two time due air conditioner work toilet run towel leave pool rough crowd around area end wake people fight 5 morning outside door read read less,Neutral
357,Carluke South lanarkshire,hotel staff friendly informative room small thought would could fault cleanliness room service provide read read less,Neutral
373,us,guy check -PRON- should not hospitality industry horrible attitude read read less,Neutral
374,Tesero,posizione comodavicino alla pennstation si raggiunge tutto molto facilmente read read less,Neutral
376,"Aguadilla, P.R.",nos gusto que habia de todo lo necesario habia transportacioncomidafarmaciatiendas el hotel el arededor nos encanto tenemos nada negativo que decir read read less,Neutral
380,New York,nothing wrong property luxurious well keep cleanliness also plus staff however incompetent rude could not even pay fee check early girl counter say call manager see room ready honestly feel like do not want deal 5 people keep wait elderly couple check right get room everyone else force wait 3 p.m. do not call manager phone texte check elderly couple answer personal phone chat talk unprofessional thing happen check need room hour get sleep do not even stay whole night -PRON- be wait counter least 510 minute someone assist mind 2 girl counter time around line one lobby one actually phone customer obviously could not help fine one texte phone completely ignore really unsatisfied staff one one actually make feel like value customer man check smile approach attentive check timely manner explain use shower breakfast hour need fire 2 girl always phone read read less,Neutral
384,"Oceanside, ca",pretty much area around property suck thought money would little around read read less,Neutral
386,Newark,nice pool area buy furniture room broken paint chip room part hotel look old need renovate hand staff beyond friendly staff rude unfriendly food drink outside hotel supermarket -PRON- be rip read read less,Neutral
387,Québec,belle piscine beau hall dentrée bâtiment désuet frais caché à larrivée read read less,Neutral
388,"Ell Paso, TX us",room door dirt upholstery dresser rip floor room entrance dusty around bathtub rusty good breakfast read read less,Neutral
391,Bordeaux,hôtel mythique emplacement idéal à deux pas de l hudson yard read read less,Neutral
392,JAPAN,無料の送迎シャトルバスにてディズニーエリアまで行けます read read less,Neutral
393,Plattsburgh ny,issue property be not aware continental breakfast overhear someone discuss possibly signage read read less,Neutral
398,"Union, NJ",bottom floor hotel garden section 2 different building seem creepy single woman walk room walkways dimly light one around feel uncomfortable could not wait get room bed comfy bathroom although room size large sink tiny shower great counter space large bathroom bathroom ceiling low bedroom area strange front desk staff efficient really friendly confusing bus pickup transport theme park driver do not speak english well read read less,Neutral
406,Apopka,exellent custumer serviceclean comfortroom read read less,Neutral
410,Topeks Ks,property old date given handicapped room request read read less,Neutral
411,"Fredericton, New Brunswick, Canada",good location centrally locate access subway read read less,Neutral
416,Nyc,room available send another hotel smell terrible read read less,Neutral
419,"Mayaguez, PR",really near disney spring good hotel visit read read less,Neutral
423,"Portland, OR USA",room nice room end hall far walk everything even though be not book full restaurant date separate building across parking lot read read less,Neutral
424,Ruskin,way expectation problem check staff way help plan return soon read read less,Neutral
432,West Suffield,accommodate every request second time visit back read read less,Neutral
434,"San diego, us",nice room outside rundown noisy anyone talk outside room seem inside read read less,Neutral
435,"Falkirk,GB.",good locationnice ground pool area room tidy functional read read less,Neutral
436,Michigan,everything centrally locate plenty restaurant right strip read read less,Neutral
438,"Simi Valley, CA (USA)",property carry name wyndham honestly refurbish hotel maybe motel room way standard price charge go business trip fine wife would disappointing outside hotel ground homeless encampment company use name wyndham ploy opinion think would stay sorry read read less,Neutral
441,Los Angeles,nice size large family subway station diner cvs locate close read read less,Neutral
446,Fruitvale Tx.,within walk distance tourist attraction bed be not make cable do not work mention expedia do not mention additional fee upon check read read less,Neutral
451,Auburn maine,staff fabulous room exit door loud along loud air conditioner get sleep first night second night tired shut air conditioning read read less,Neutral
452,New York,staffs nice elevator slow blackout drapery everyone see room privacy read read less,Neutral
453,"Santa Cruz, us",late night park bad land later 9 p.m. forget kind nearby parking read read less,Neutral
458,"Palm Beach, us",room need improvement specifically bathroom dirty outdated read read less,Neutral
459,"Terre Haute, IN USA",well 3rd stay property two consecutive year first time place -PRON- wing bottom floor buggy insect damp smell insist stay main building past never sub ground level room read read less,Neutral
467,Lehi,liked location noisy night air conditioning must work keep turn every 30 second be not clean keep expect bathroom do not fan mold grow corner room old need refurbishing read read less,Neutral
470,San Jose,easy check even let check 1 hour early read read less,Neutral
473,LA,date toilet room need serious upgrade 4 faucet knob need vice grip open counterspace bathroom overall blah stay read read less,Neutral
474,Margate Florida,park extra fee time checkin aware read read less,Neutral
477,"Fountain Valley, US",room dirty smelly move different room twice get reasonable clean room hotel staff do not upgrade -PRON- well room provide comp stay read read less,Neutral
481,Port St. Lucie,less 5 minute walk disney springs walkway street traffic wait walk disney spring read read less,Neutral
485,"New York, NY",room bit small staff wonderful room service disappointing read read less,Neutral
486,"London, OH",new yorker second home -PRON- return customer never disappoint truly classy place stay location can not beat read read less,Neutral
488,Michigan,clean update hotel middle chinatown restaurant shop close read read less,Neutral
489,"Danvers, MA",hotel vintage new york feel like everything small issue water temperature shower hard adjust get right read read less,Neutral
491,"Upland, US",like cleanliness property disappoint gym monitor machine do not work read read less,Neutral
497,"Miami, FL, US",place give motel vibe do not know area outside look outdate good job fool modern look room floor dusty dirty even housekeeping come still dirty sheet also feel dirty curtain almost break -PRON- try close -PRON- be look peaceful night sleep place paper thin wall hear people hallway hear room next door downstairs definitely stay especially charge night read read less,Neutral
498,"Orlando, fl",be not happy parking charge allergy free breakfast order 30 minute cook read read less,Neutral
508,"Winston-Salem, NC",would have liked see sort breakfast offer would not pay normal street price within hotel read read less,Neutral
509,Paris,le petit dej cher et pas top fade sans aucun goût par rapport aux navette pour disney attendu 1 heure alor quon nous avait dit que ça passait tous les 30 min les chambre sont froide eu un peu froid et il ny avait pas de couvertures supplémentaire read read less,Neutral
514,"Orlando, fl",get right sea world tire look nice place rest soon get take kid straight bathroom bathe find hair tub tub also clog water would not come take bed get dress find make sheet place nasty look dirty around read read less,Neutral
515,Spokane WA,open outdoorsy room clean stylish decor read read less,Neutral
516,"Halifax, N.S.",convenient close everything tiny date room extra 3500 day charge phone gym etc whether want extra charge coffee machine anything room read read less,Neutral
518,Miami Beach,basic hotel disney property good price read read less,Neutral
520,Stroudsburg Pa US,customer service cleanliness staff professional assisted needede read read less,Neutral
521,"Birmingham, al",checkin take long room view room clean hot water buy disney tickets hotel expedia representative give -PRON- wrong ticket number link fadtpass cause -PRON- wait extra long park try get help hotel keep get excuse could help tell would talk person buy wife get sick eat pool side restaurant read read less,Neutral
524,Milwaukee,many extra charge check book hotelscom think charge hotel able get refunded bug carpet wall room hot water first day probably will not stay read read less,Neutral
525,"wGreeashin
 
 Greendale",like handicap room terrible shower soap fill next day wash clothe read read less,Neutral
529,"Miami, fl",check hot water wait whole night take hot shower read read less,Neutral
533,New Hampshire,room small breakfast option would nice read read less,Neutral
539,Atlanta,checkin quick try immediately sell -PRON- reduce ticket disney read read less,Neutral
540,"Melbourne, FL",free parking pay 25 dollar every night stay read read less,Neutral
543,"Parker, Colorado",like fact charge additional parking fee 2343 vacationer choose vehicle top resort fee 3200 look additional 55 fee stay ridiculous read read less,Neutral
545,CLERMONT-FD,superbe établissement et bien placé au sud de nyc seul bémol pas de petit déjeuner alor quil est précisé pd inclus dans la présentation cétait un de nos critère de sélection read read less,Neutral
546,RI,room fine need bit dated tv do not work call staff member suppposrd come fix never show read read less,Neutral
547,Southwick us,feel drink pool price size drink -PRON- have never experience drink plastic cup 8 oz especially freeze drink shower head low read read less,Neutral
550,"Hawaii, us",short staffed valet service pay morning maintenance staff wekend read read less,Neutral
555,"Davie, FL",property update plastic wood floor extremely dirty kid foot black bath tub water stain floor hear people walk room upstairs night long mattress wedge middle expect much well wyndham read read less,Neutral
556,Montréal,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee read read less,Neutral
558,Florida,hairdryer room front desk say would bring hour never find housekeeping hallway take one another room bathroom outlet work read read less,Neutral
559,"San Francisco, CA",room small there s restaurant property read read less,Neutral
560,BOSTON,hotel conveniently locate 2 minute walk madison square garden -PRON- be event recommend stay read read less,Neutral
561,"Las Vegas, NV",get room notice curtain do not shut way little bothersome since travel work huge issue window look roof top nobody could really see large issue several personal item miss room get back evening frustrating travel work easy get touch front desk manager finally state would reimburse miss item fun read read less,Neutral
563,Palm Bay FL,main pool close two people tell different price do not like hotel fee per day per room top hotel rate read read less,Neutral
565,spring hill fl,hotel misrepresent self room old motel typ section look dumpster 200 night far well place stay orlando read read less,Neutral
566,St Barth,property 5 mn walk distance disney spings shuttle service disney parks bus every 30 minute plus room 2 bed small aged thing disappointing everyday room clean sure spend 5 mn one day come back park 4 pm room be not make have not pool read read less,Neutral
567,Florida,overall nice property three room book expedia would much rather place hotel part instead place motel area door open outside something try avoid hotel -PRON- be wonder anything -PRON- use expedia like walk next door disney spring read read less,Neutral
568,Mission,do not tell old part hotel main building send old part instead send motel 6 like part veryyyy dishonest image show beware read read less,Neutral
570,New York,do not give money back front desk rude read read less,Neutral
571,Woodbury us,convenient location noise level surround area high hard sleep read read less,Neutral
572,"Vancouver, BC",everything good bed mattress soft room temperature little bit low also extra quilt available read read less,Neutral
573,Toronto,location good front desk be not accommodate read read less,Neutral
575,"Birmingham, AL, US",property lot neat amentitie room short smell like smok nonsmoke room also worker rude charge ton hide fee prepare read read less,Neutral
576,SAO PAULO,conforto hotel excelente wifi e chuveiro ruins read read less,Neutral
581,Orlando florida,floor room 510 nasty look like month body clean read read less,Neutral
589,"Schulenburg, TX",close proximity lot site subway right corner taxi ride reasonable use quick elevator read read less,Neutral
598,"Bauru, SP - Brasil",gostei da limpeza localização não gostei restaurante read read less,Neutral
599,Good,clean good location poor restaurant food service read read less,Neutral
607,"Stuart, Florida",location disney springs buses park stay least 45 time past read read less,Neutral
609,"saitama, jp",チャイナタウンの目抜き通りであるカナルストリートから1ブロック離れた場所にあるホテル近隣には前世紀の遺物のようなホテルが建ちならぶ中このホテルだけはチャイナタウン唯一の4ツ星ホテルらしく外観も新しく部屋もその等級にふさわしいものだったとはいえそれほど大きなホテルではないのでチェックアウトも空いていて楽々受付スタッフもなかなかフレンドリーで好感が持てた徒歩２３分のところにチャイナタウン有数のスーパーマーケットがあり入ってみると繁盛しているだけあって品ぞろえ値段ともにリーズナブルであった食事はこれまた5分ほども歩くと朝早くからお粥が食べられる店もありまた夜遅くまで営業しているレストランそして安くて腕の確かなマッサージ店も多々ありでマンハッタンにいながらアジアの文化も楽しめるハイブリッドな旅行を楽しみたい方にはこのホテルを拠点にするしかないのではないかとさえ思えてくる 最後にネガティブな点も少々 １シャワールームのドアが存在しないすなわち半分しか敷居がないのでシャワー使用時トイレの方にどうしてもお湯が飛び散ってしまう ２スリッパを置いていなかったのは残念 ３デスクがあったのはありがたかったがその頭上の照明の明るさがまるきり足りなくて本などを読める環境ではない とはいえコスパ抜群のこのホテルを次回も利用したいです read read less,Neutral
610,Lockport NY,8 min walk disney springs 20 day park car add price room read read less,Neutral
612,"Dania Beach, Fl",take almost two day replace body wash bathroom informationcoordination shuttle pick park always clear read read less,Neutral
620,Washington DC,noise issue could hear people next room elevator bell read read less,Neutral
624,Toronto,location excellent husband always stay hotel visit nyc however hotel date tired look read read less,Neutral
626,Trois Ruisseaux NB Canada,property need update ground beautiful work one pool noise disturbing read read less,Neutral
629,"San Jose,Ca",room tv do not work shower horrible water spray everywhere breakfast overcharge -PRON- read read less,Neutral
636,U.S. Virgin Islands,close access everything would definitely stay read read less,Neutral
652,Hoboken,be not 3 star hotel 2 star motel advertise disney resort hotel room clean outside actual hotel room do not offer amenity typical 3 star hotel would deceive read read less,Neutral
656,Richmond Va,location location location can not beat attend event msg read read less,Neutral
658,Land o lakes florida,thing like property closeness park park impossible room really dirty bed super hard pillow firm staff do not seem care anything hear talk front spanish room clean noisy night long pay disney spring expect quality hote quality amenitie worth price read read less,Neutral
664,"Chico,CA",lobby clean microwave advertise read read less,Neutral
665,"Orlando, FL",key first room do not work change another room upon return room dinner key reset thing happen next day staff apologetic though read read less,Neutral
668,"Hutchinson Island, FL",location convenient go queens new york read read less,Neutral
669,Ithaca,nervous check previous review check around 10 p.m. do not issue room small nyc guess expectedlong strand hair bathroom door nightstand room key deactivate day 2 check line 20 people 1 person check customer 2 other something else 1 elevator broken elevator wait time be not horrible read read less,Neutral
673,Honeoye Falls NY,check disorganize try do not seem know shampoo washcloth read read less,Neutral
675,Redford,like stay motel room disappointing bed extremely small read read less,Neutral
676,"new york, us",number pool activity resort especially lazy river read read less,Neutral
677,oromocto,sleep can not really rate bed night read read less,Neutral
682,"Prescott Valley, AZ",much need update broken tile stain carpet sink functioning well read read less,Neutral
684,CA,room nice however family along 3 family stick elevator get pool 1 hour front desk receptionist seem handle situation end call 911 door open another guest come say report elevator work 6 a.m. saturday morning sign anyone work elevator make sure work properly general manager think good family do not change fact kid still scare panic attack hot hard breath 10 year old even get nose bleed stay hotel last year soccer tournament choose one year tournament well sure hotel stay next year read read less,Neutral
686,fort myers fl,nothing unique pay 25 parking check 3 10 a.m. read read less,Neutral
687,Prince George’s Co. MD,always pleasant experience location price good negative room small length bed short -PRON- be 53 foot touch end bed read read less,Neutral
692,"Daegu, S.Korea",뉴욕 맨해튼 다운타운 펜스테이션 바로 옆에 위치한 교통은 최고로 좋았는데 100년 정도 된 호텔이어서 내부가 낡았으며 미국의 중가격대 호텔 기본 룸들이 그러하듯이 냉장고가 없고 1회용 비누와 샴푸만 제공되고 칫솔과 치약은 투숙객이 가져가야 되며 투숙객들 23는 유럽에서 온 중산층 여행객들이었고 13이 아시안과 미국인들이었으며 중가격대에 딱 맞는 호텔이었음 read read less,Neutral
701,Hannover,ein schönes hotel midtown zb das empire state building ist fussläufig erreichbar ebenso macy read read less,Neutral
702,"saitama, jp",フライトが早朝便だったがsjcに非常に近く便利 read read less,Neutral
703,"Vancouver, ca",clean enough read read less,Neutral
708,"Boone, NC",great locationwe minor issue arrive find dirty sock bed housekeeper set alarm twice wake -PRON- 6 a.m. front desk send -PRON- wakeup call do not request another morning heat do not work well either one evening come back find window open room barely work heater take several hour warm back everything fine read read less,Neutral
712,"Manhattan, NY",stay 8th floor newly remodel view nice big room read read less,Neutral
717,California,daughter enjoy stay especially pool read read less,Neutral
725,"Studio City, CA",nice view corner suite quite noisy 6th floor compare 14th floor previous stay read read less,Neutral
